signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_115789		16	AARS	-0.00980702	0.96278327703476
LINCSCP_115789		23	ABCF1	0.104151	0.863036751747131
LINCSCP_115789		25	ABL1	0.163158	0.642988622188568
LINCSCP_115789		30	ACAA1	-0.146359	0.555820465087891
LINCSCP_115789		39	ACAT2	-1.63001	0.470230430364609
LINCSCP_115789		47	ACLY	0.0216111	0.936194062232971
LINCSCP_115789		102	ADAM10	0.447721	0.12276965379715
LINCSCP_115789		128	ADH5	-0.401114	0.259197324514389
LINCSCP_115789		142	PARP1	-0.125879	0.566396296024323
LINCSCP_115789		154	ADRB2	3.52403	0.16395765542984
LINCSCP_115789		178	AGL	-0.591068	0.031893540173769
LINCSCP_115789		207	AKT1	-0.125001	0.695756494998932
LINCSCP_115789		211	ALAS1	-0.0382714	0.865768790245056
LINCSCP_115789		226	ALDOA	0.119021	0.666652679443359
LINCSCP_115789		230	ALDOC	0.00813193	0.978548765182495
LINCSCP_115789		291	SLC25A4	-0.187771	0.414972960948944
LINCSCP_115789		310	ANXA7	-0.313135	0.241556450724602
LINCSCP_115789		323	APBB2	1.77101	0.0345554947853088
LINCSCP_115789		329	BIRC2	0.26882	0.392609715461731
LINCSCP_115789		332	BIRC5	0.703668	0.0211416054517031
LINCSCP_115789		348	APOE	-0.618698	0.138350278139114
LINCSCP_115789		351	APP	-0.0959631	0.649505794048309
LINCSCP_115789		355	FAS	0.00580231	0.993028223514557
LINCSCP_115789		387	RHOA	0.188033	0.546827673912048
LINCSCP_115789		392	ARHGAP1	-0.146402	0.54998517036438
LINCSCP_115789		427	ASAH1	-0.104019	0.708836495876312
LINCSCP_115789		466	ATF1	0.534623	0.0551774464547634
LINCSCP_115789		481	ATP1B1	-0.0150526	0.969167649745941
LINCSCP_115789		501	ALDH7A1	0.0843857	0.787011563777924
LINCSCP_115789		533	ATP6V0B	0.196101	0.522884845733643
LINCSCP_115789		572	BAD	-0.627321	0.0333898849785328
LINCSCP_115789		581	BAX	0.270959	0.641847133636475
LINCSCP_115789		595	CCND1	-0.286296	0.301322549581528
