cell_type,dataset_id,n_cells,n_donors
"CD4-positive, alpha-beta T cell",218acb0f-9f2f-4f76-b90b-15a4b7c7f629,1197,239
"CD4-positive, alpha-beta T cell",ebc2e1ff-c8f9-466a-acf4-9d291afaf8b3,883,115
"CD4-positive, alpha-beta T cell",1e6a6ef9-7ec9-4c90-bbfb-2ad3c3165fd1,533,116
"CD4-positive, alpha-beta T cell",01ad3cd7-3929-4654-84c0-6db05bd5fd59,521,71
"CD4-positive, alpha-beta T cell",53d208b0-2cfd-4366-9866-c3c6114081bc,327,14
"CD4-positive, alpha-beta T cell",242c6e7f-9016-4048-af70-d631f5eea188,216,14
"CD4-positive, alpha-beta T cell",9f222629-9e39-47d0-b83f-e08d610c7479,195,98
"CD4-positive, alpha-beta T cell",bd65a70f-b274-4133-b9dd-0d1431b6af34,96,6
"CD4-positive, alpha-beta T cell",a37f857c-779f-464e-9310-3db43a1811e7,83,33
"CD4-positive, alpha-beta T cell",b0e547f0-462b-4f81-b31b-5b0a5d96f537,77,68
"CD4-positive, alpha-beta T cell",9fddb063-056d-4202-8b8a-4b0ee531d3ce,74,20
"CD4-positive, alpha-beta T cell",5af90777-6760-4003-9dba-8f945fec6fdf,71,10
"CD4-positive, alpha-beta T cell",19e46756-9100-4e01-8b0e-23b557558a4c,61,18
"CD4-positive, alpha-beta T cell",01209dce-3575-4bed-b1df-129f57fbc031,52,4
"CD4-positive, alpha-beta T cell",29244e1d-02e6-4133-b411-516ef7474638,49,8
"CD4-positive, alpha-beta T cell",7c497c66-c2e2-4291-8b96-339e5e65f314,45,1
"CD4-positive, alpha-beta T cell",8fbed309-d3d4-441b-b3ff-e2dcbcec2d35,42,12
"CD4-positive, alpha-beta T cell",644a578d-ffdc-446b-9679-e7ab4c919c13,40,5
"CD4-positive, alpha-beta T cell",518d9049-2a76-44f8-8abc-1e2b59ab5ba1,39,13
"CD4-positive, alpha-beta T cell",cda2c8cd-be1c-42e5-b2cd-162caa1c4ce7,39,15
"CD4-positive, alpha-beta T cell",b6b5ea88-e092-46e4-b9c5-e93b52d5c195,33,8
"CD4-positive, alpha-beta T cell",b61a921b-7fa3-4b42-b455-aaaf32447920,31,8
"CD4-positive, alpha-beta T cell",7b20c613-9add-43d1-87e9-defd3d9b9f8c,28,6
"CD4-positive, alpha-beta T cell",2672b679-8048-4f5e-9786-f1b196ccfd08,25,5
"CD4-positive, alpha-beta T cell",80a2c5b6-02e7-4fc0-9f12-179f5247c1bc,25,5
"CD4-positive, alpha-beta T cell",d8da613f-e681-4c69-b463-e94f5e66847f,24,14
"CD4-positive, alpha-beta T cell",842c6f5d-4a94-4eef-8510-8c792d1124bc,22,16
"CD4-positive, alpha-beta T cell",02792605-4760-4023-82ad-40fc4458a5db,19,5
"CD4-positive, alpha-beta T cell",fa8605cf-f27e-44af-ac2a-476bee4410d3,19,8
"CD4-positive, alpha-beta T cell",7b55fe5c-d5c8-48e0-a1a3-54c5b9074f3f,16,1
"CD4-positive, alpha-beta T cell",350237e0-9f48-4cbd-9140-3b44495549f3,13,4
"CD4-positive, alpha-beta T cell",b3c9904b-2ffd-4038-8620-ee1c5b072e9c,11,3
"CD4-positive, alpha-beta T cell",df1edb87-e512-43ae-b5f4-cb179cfc2bb4,11,7
"CD4-positive, alpha-beta T cell",17e9d436-a264-4c94-a42d-48c8daf6fdd9,9,1
"CD4-positive, alpha-beta T cell",8e47ed12-c658-4252-b126-381df8d52a3d,8,5
"CD4-positive, alpha-beta T cell",43560d7c-acd6-4ede-830d-c9ffc6cd0862,7,4
"CD4-positive, alpha-beta T cell",9ea768a2-87ab-46b6-a73d-c4e915f25af3,7,4
"CD4-positive, alpha-beta T cell",68b6114f-e990-4033-bfb3-c35536633aaa,5,3
"CD4-positive, alpha-beta T cell",c0fb0d06-225b-4611-b802-d2f34b438a29,5,1
"CD4-positive, alpha-beta T cell",c54c9659-1b6b-4d4a-96f0-7dc987410f2d,5,1
"CD4-positive, alpha-beta T cell",3faad104-2ab8-4434-816d-474d8d2641db,4,4
"CD4-positive, alpha-beta T cell",b07fb54c-d7ad-4995-8bb0-8f3d8611cabe,4,3
"CD4-positive, alpha-beta T cell",1873a18a-66fd-4a4d-8277-a872c93f5b59,3,2
"CD4-positive, alpha-beta T cell",2872f4b0-b171-46e2-abc6-befcf6de6306,3,1
"CD4-positive, alpha-beta T cell",2ac76f1b-43ef-4271-8686-2f165570989f,3,1
"CD4-positive, alpha-beta T cell",3dc61ca1-ce40-46b6-8337-f27260fd9a03,3,3
"CD4-positive, alpha-beta T cell",456e8b9b-f872-488b-871d-94534090a865,3,1
"CD4-positive, alpha-beta T cell",c7775e88-49bf-4ba2-a03b-93f00447c958,3,3
"CD4-positive, alpha-beta T cell",9c1b5626-58df-4401-ae7b-f66d068c1551,2,1
"CD4-positive, alpha-beta T cell",a82c43bb-a703-446d-aa24-049bf013121f,2,1
"CD4-positive, alpha-beta T cell",1a2e3350-28a8-4f49-b33c-5b67ceb001f6,1,1
"CD4-positive, alpha-beta T cell",3f6ab2aa-6c63-4753-b652-3a9b9e7c8ee5,1,1
"CD4-positive, alpha-beta T cell",59632ec0-6f10-48c6-af79-81024e84843e,1,1
"CD4-positive, alpha-beta T cell",7f7faf6b-f11d-4f07-bc1c-188a4472748d,1,1
"CD4-positive, alpha-beta T cell",d18736c3-6292-4379-919a-d6d973204c87,1,1
"CD4-positive, alpha-beta T cell",d7dcfd8f-2ee7-4385-b9ac-e074c23ed190,1,1
"CD4-positive, alpha-beta T cell",ed5d841d-6346-47d4-ab2f-7119ad7e3a35,1,1
"CD8-positive, alpha-beta T cell",9dbab10c-118d-496b-966a-67f1763a6b7d,1301,167
"CD8-positive, alpha-beta T cell",218acb0f-9f2f-4f76-b90b-15a4b7c7f629,921,235
"CD8-positive, alpha-beta T cell",1e6a6ef9-7ec9-4c90-bbfb-2ad3c3165fd1,435,115
"CD8-positive, alpha-beta T cell",01ad3cd7-3929-4654-84c0-6db05bd5fd59,409,62
"CD8-positive, alpha-beta T cell",ebc2e1ff-c8f9-466a-acf4-9d291afaf8b3,363,97
"CD8-positive, alpha-beta T cell",9f222629-9e39-47d0-b83f-e08d610c7479,296,131
"CD8-positive, alpha-beta T cell",53d208b0-2cfd-4366-9866-c3c6114081bc,283,18
"CD8-positive, alpha-beta T cell",5af90777-6760-4003-9dba-8f945fec6fdf,240,11
"CD8-positive, alpha-beta T cell",242c6e7f-9016-4048-af70-d631f5eea188,134,13
"CD8-positive, alpha-beta T cell",a37f857c-779f-464e-9310-3db43a1811e7,106,32
"CD8-positive, alpha-beta T cell",19e46756-9100-4e01-8b0e-23b557558a4c,62,18
"CD8-positive, alpha-beta T cell",9fddb063-056d-4202-8b8a-4b0ee531d3ce,43,16
