,ALB,TF,APOA1,APOA2,APOB,HP,FGB,F2_ENSG00000180210,SERPINA1,TTR,HNF4A,HNF1A,FOXA1,FOXA2,CEBPA,GAPDH,ACTB,B2M,PPIA,HPRT1
"CD4-positive, alpha-beta T cell",0.15769108282213248,0.14501411795568714,0.1223644905956272,0.13632425143465263,0.22253976536224948,0.1387155659664007,0.15125121259759644,0.14965762029005733,0.13315698560180897,0.08445956985277604,0.20219034107859613,0.06359426434153645,0.02250297453010313,0.05257484108874786,0.0005740633227653591,-0.11503074469138974,-0.13908358667397958,-0.14179672387473374,-0.1017462487564063,-0.06453628698774848
"CD8-positive, alpha-beta T cell",0.038759730980191864,0.053817211581102226,0.0650683412268518,0.04470078779610277,0.09687927742585781,0.053400255592435664,0.055017366935017034,0.026912181731345252,0.031202350346966647,0.056497290494840355,0.07489649839390347,0.03897623322655207,0.004838864342633437,0.0074921041305533636,0.026114829779433274,0.005961269718050485,-0.004048610377347946,-0.03709647764613381,0.014986093965462624,-0.006275349683587716
enterocyte of epithelium of large intestine,0.06632026635876156,-0.01937461978933947,0.2078866849322517,,0.0035983576474456257,-0.021331489613118794,-0.11179079122929518,-0.0666613095366479,0.10426189358085722,-0.012502737677733617,0.003382244132807578,0.17133591235405257,0.23156617325216808,0.1731714086614291,0.2897399238374778,0.27698702007031206,0.06598334770500754,0.17478044286954614,0.003250569408387541,0.1286607266824302
enterocyte of epithelium of small intestine,,-0.0014984577213854513,0.3328422827566218,0.09125424132497167,0.5331893189318931,-0.16180842879411472,,,0.48972991137942223,-0.12542641456993986,0.30958295829582955,0.2708383965750982,0.10268768423036162,-0.16826862226321668,0.1337801874321814,-0.02514251425142514,0.4632823282328232,0.5411341134113411,-0.03388549020564368,-0.05277149359864207
extravillous trophoblast,-0.019086482257550264,0.04524924330054295,-0.09822727410903359,-0.05134175870157208,-0.02154552709466956,-0.019238653421136426,-0.05902786466698804,0.04818828464664111,0.03320017895492609,-0.04511236550484619,-0.02154552709466956,-0.03521216147526762,,-0.013558361033374104,0.07591861140213232,0.08570922809273326,-0.011722875792961817,0.05592436158020795,0.029877115522151533,0.03532946835947006
hepatocyte,-0.05954670151042598,0.33032999330454127,-0.15964267091133955,-0.32392413410376886,0.39628427442569286,-0.06482692087889694,0.006893956188497034,0.3689736270818046,-0.3968271907037043,-0.06906451267741802,0.8085871064760104,0.5532572682614944,0.19636284901944956,0.05654055898348561,-0.15300751177175734,-0.5249896690234265,-0.504502783013715,-0.39189746264130365,-0.4718440405258716,0.49615000613329313
intestinal crypt stem cell,,,0.4557938212202223,,0.5558398890069389,0.07499229689800033,,-0.19677613514353673,0.5385012564017398,-0.13295780440798252,0.6542253829177812,0.5869225731701173,0.4469379277057186,0.33276250773320065,0.652508440323074,0.6527394800963565,0.6632163542270796,0.6338005153215875,0.617455584285916,0.6135905709980921
macrophage,0.0786858702601546,0.08616337234789936,0.0767412114013484,0.07162820928143561,0.10366571456412661,0.06466929244751314,0.08058418274351922,0.14882712560070216,-0.033791366260299195,0.12624277666875117,0.09606618996923239,0.16335112729357967,0.09090439733677394,0.01415314725469227,-0.08354270715843602,-0.1371895272944119,-0.12734114532106042,-0.13030302723789094,-0.09966844788943945,-0.07795715905826825
monocyte,0.11279801628165248,0.16693720439853782,0.09453806474763733,0.08278269634431819,0.16505571482861245,0.09916425238918485,0.13195238760555816,0.1327005723490341,-0.07773211896299684,0.15179221508053348,0.13454234294571496,0.12180795883384869,0.14008813857117916,0.06466952207034439,-0.10760255837680593,-0.1904471711659502,-0.21324102087791366,-0.19322430811617675,-0.15527004548082404,-0.07959314453878823
natural killer cell,0.07643131532642139,0.11979880732698384,0.08496494862260891,0.05879942122197584,0.11349706469010433,0.11215374117536117,0.08750475902047992,0.14372359070538687,0.05767952405052289,0.11304683441555974,0.11962941505084068,0.1928754754427339,0.09007573438377507,0.08918871505085021,-0.008184912939406019,-0.07815017202955463,-0.09524961505933288,-0.06789288643158162,-0.07081477444137603,-0.04767685971382005
