,CYP3A4,CYP3A5,CYP2B6,CYP2C8,CYP2C9,CYP1A2,CYP7A1,UGT1A1,UGT1A6,SULT2A1,GSTA1,GSTA2,ABCB1,ABCC2,ABCC3,SLCO1B1,G6PC1,PCK1,CPT1A,NFKB1
"CD4-positive, alpha-beta T cell",-0.008596924754203056,-0.04467474926313989,-0.008597082645141373,-0.013717290979493918,-0.008596924754203056,-0.00606060606060606,,-0.00606060606060606,,-0.013717188358544638,-0.020722932157790835,-0.010560961354881243,-0.06666110318051612,-0.018629765345947638,0.3348899601614441,,-0.00606060606060606,-0.018629765345947638,-0.030791483346527305,-0.09928576183261384
"CD8-positive, alpha-beta T cell",-0.01751058615223237,0.10713443942791341,-0.018629765345947638,-0.016330003893135426,-0.018630082729254517,-0.024500246740373936,-0.00606060606060606,0.2995405648262493,-0.00606060606060606,-0.020722932157790835,-0.027090303901202942,-0.012231793654502849,0.0790050533411029,-0.025382636592517892,-0.03263613854587104,-0.008597082645141373,-0.02072300526267606,-0.019697942392292334,0.10262365950927425,0.06331776221860576
enterocyte of epithelium of large intestine,0.28493180321106526,0.19614626818640848,0.2824959834276344,0.13704618243658687,0.17877017089215722,0.07079959829537132,0.07886340341638151,0.1525356254848878,0.10914127273979807,0.08896760793033374,0.044199328050950344,0.04700390621716471,0.3551163520532428,0.0831973054956153,0.07468525552274423,0.08310677096387645,0.03931999012764835,0.0374644148928922,0.13743253086287135,0.07617638891284333
enterocyte of epithelium of small intestine,0.5509776298150203,0.7115941468176771,0.4328848964345159,0.07978665314578744,0.5893565124316956,,-0.08152263148560678,0.40052157791478454,0.1090883074106553,0.38820082552978424,0.07242300006101082,-0.0378756523800192,0.5102173729117577,0.6493256920798529,0.3655036672620509,,0.49075829291492135,0.2988819505886684,0.1594641852266661,0.1619309405952949
extravillous trophoblast,-0.008596924754203056,-0.02116939242616317,,,-0.023163613522825057,,-0.008596924754203056,,,-0.021379885203573607,-0.021380019306856294,-0.023163613522825057,0.05719006199912274,-0.050497271979696404,0.07372842887204278,-0.01498064536649347,-0.012194674012855832,-0.008596924754203056,0.016918009925990803,0.04236682021923252
hepatocyte,0.720962360022733,0.9019591895910021,0.7909257497532577,0.8923040930180505,0.928067415995074,0.644759149761475,0.47609668108566067,0.17560561664229385,0.1553959973005929,0.6667141241337549,-0.05529322561564267,0.06637388734645007,0.7309828046188441,0.8644499061386443,0.7464190179711472,0.8727873909849676,0.7884743384573311,0.6995822682508768,0.8064427747376767,0.7095474676567687
intestinal crypt stem cell,0.4281370649375407,0.6454676100102474,0.413416037663851,0.12881028081983226,0.34685482782471344,,,-0.03178414942734392,0.17532510444921612,0.31105216288346443,0.4472766278407641,0.3581097788022074,0.6600423255077928,0.07356638778937671,0.6086693824289866,,0.2539907615363623,0.44995907861591,0.5576489628029836,0.4315113384349191
macrophage,0.08975096722689593,-0.013919536646101509,0.16995686410749844,-0.030419522287806,-0.03975513919157425,0.24077964085213963,-0.012231793654502849,0.275249608903308,-0.017350708593355402,0.07841879472374264,0.013967598259335773,-0.04762288151333584,0.07884022958483515,0.029854808714552143,-0.025068173977401815,0.27173997308771614,-0.024686768041045467,-0.06278061228612403,0.014161869613240046,0.0007532781367996998
monocyte,-0.03246345825839471,-0.07902720166539817,-0.03432468700169591,-0.026264291925592105,-0.021314617514204225,-0.028455373402733995,-0.010560961354881243,-0.023903004865115776,-0.010560961354881243,-0.03611105152646022,0.1419118629439993,0.401950569050373,0.02028940538417306,-0.03949987768160075,-0.03939219948872056,,-0.01840309428198369,-0.02845552732497279,-0.1289165545938918,-0.06395477539442752
natural killer cell,0.2661910312880471,0.09825412128048631,0.16920214119256172,-0.04718061391779607,-0.04354795040549394,-0.017510669539748246,,0.32822670169698803,-0.030513368210717266,-0.0435476772568583,-0.059873948790100065,-0.03963253013955788,-0.07709672914547605,0.15353837684733132,0.010006707799611743,,-0.02483875489077364,-0.0435476772568583,-0.06740927936029098,-0.07872037749219643
