,CYP3A4,CYP3A5,CYP2B6,CYP2C8,CYP2C9,CYP1A2,CYP7A1,UGT1A1,UGT1A6,SULT2A1,GSTA1,GSTA2,ABCB1,ABCC2,ABCC3,SLCO1B1,G6PC1,PCK1,CPT1A,NFKB1
"CD4-positive, alpha-beta T cell",-0.019460999341747276,-0.08020992499450552,-0.018959355942760867,-0.027089324582007968,-0.01895820927232598,-0.014981658695274992,0.0,-0.014981658695274992,0.0,-0.02626617510878137,-0.039688210156908196,-0.021382004741324675,-0.12149955808382987,-0.037725940543156644,0.0,0.0,-0.017352640209845116,-0.03611335326159469,-0.0715809276546951,-0.18231782199030777
"CD8-positive, alpha-beta T cell",-0.03486118557601436,0.0,-0.03783588324604797,-0.03080103289819045,-0.03611588882626709,-0.04721054125034828,-0.014981658695274992,0.0,-0.014981658695274992,-0.040474333726241055,-0.05029852390255282,-0.025588961454253326,0.0,-0.046780358972826945,-0.06579747805505358,-0.01840490797546012,-0.039502376200228825,-0.03899501993997572,0.0,0.0
enterocyte of epithelium of large intestine,0.1305526087888738,0.027246993089177773,0.11496861561727602,-0.00799090851855935,0.03293478963482135,-0.08157017715575154,-0.04886595431430797,-0.005446251532356188,-0.02535694857982719,-0.016176516573457523,-0.088563979611288,-0.04920218482903027,0.20418180437338634,-0.054900174020807414,-0.08971721365122694,-0.058457357839283436,-0.0989911329663248,-0.138260086329162,-0.026852704370970988,-0.0970355529623542
enterocyte of epithelium of small intestine,0.4190914069640378,0.6079195428911838,0.284489382225475,-0.06590253758260878,0.47794284051745883,0.0,-0.20609682024406714,0.2651569537537739,-0.024005643677642158,0.25450396294331556,-0.07879326581366411,-0.1937051235164151,0.3660804310361068,0.5452463253488203,0.22374274255792845,0.0,0.36453769359620447,0.1536480918116381,0.0052803742243829905,0.019575428641088907
extravillous trophoblast,-0.017352488830969272,-0.10514987257828808,0.0,0.0,-0.044587909798848975,0.0,-0.018404227811082297,0.0,0.0,-0.03866891335590844,-0.03783767089115894,-0.04217028559722826,-0.059491874873560016,-0.08640381765086216,-0.011393501559101505,-0.027687268670073532,-0.02390419347405807,-0.01895788619424651,-0.1223309792630819,-0.11879870828843839
hepatocyte,0.6209050036185931,0.859319832034861,0.7076093961035462,0.8236593872801278,0.8752113044175172,0.5324535828922441,0.36169129329090566,0.04501692724379662,0.02523891725713377,0.5577123582516308,-0.2175601393539396,-0.10236056062098636,0.6277419116449491,0.8090048687761409,0.6644140960166784,0.8312961062803056,0.7149126661086956,0.594727074474071,0.7309370110923783,0.5942500634875166
intestinal crypt stem cell,0.18435898007798776,0.4258017789828975,0.12958194835929418,0.0,0.08697438390482017,0.0,0.0,-0.29644615780931854,0.0,0.07934249597505566,0.2513823612271743,0.0921865378827949,0.4816983945435016,-0.18750910381606198,0.4430795582475218,0.0,-0.005131966945588968,0.2137530482150097,0.32891964359103126,0.17749737317615852
macrophage,-0.060308122313324004,-0.10579180838665374,-0.03861455094648057,-0.05019943345160255,-0.06358123370134171,-0.027686103481463938,-0.024317644886935958,-0.02431625094626226,-0.030794919222713067,-0.05906245302650059,-0.09787803685075534,-0.07334188823357404,-0.06384324518287,-0.08041829257170788,-0.14560768326453408,-0.02468745643086615,-0.04061329277830325,-0.09580327991350271,-0.15051005627685946,-0.15586907566242839
monocyte,-0.051539509829609496,-0.12280448566353894,-0.05745422014386186,-0.04663393261656776,-0.03963466146106419,-0.04762743938383869,-0.022317782128070552,-0.040614490779571216,-0.021380948420057527,-0.058502874111363345,-0.045753069214282495,-0.01895788619424651,-0.08577575471307593,-0.06358184067809339,-0.1032664212445881,0.0,-0.03295909522071503,-0.04842464279770396,-0.2056171946258151,-0.22443017287633488
natural killer cell,-0.03272410423088046,-0.06330895191410658,-0.03272559210870793,-0.07368495210944033,-0.06735813626874203,-0.0343279671157578,0.0,-0.024839888320040006,-0.05020340555217259,-0.06615063028188783,-0.08505907300662324,-0.061010254136632955,-0.18981706622265698,-0.042009144700072616,-0.09332347398924667,0.0,-0.043824081059672886,-0.06706973310799083,-0.21160787018516308,-0.22008008363385528
