,CYP3A4,CYP3A5,CYP2B6,CYP2C8,CYP2C9,CYP1A2,CYP7A1,UGT1A1,UGT1A6,SULT2A1,GSTA1,GSTA2,ABCB1,ABCC2,ABCC3,SLCO1B1,G6PC1,PCK1,CPT1A,NFKB1
"CD4-positive, alpha-beta T cell",0.17810568865183252,0.2100610439161076,0.2348310476064559,0.19384145358152588,0.23416974135280638,0.05912393432941751,-0.00941514410619855,0.07721253941715436,0.014923871768810791,0.15479557549291023,0.017461489004419368,0.012009740361325471,0.03276349362965224,0.17195897532259707,0.21030246654757478,0.1983177433719946,0.12195083283462485,0.13231887651452476,0.03426427214759896,0.041338655985638864
"CD8-positive, alpha-beta T cell",0.05006690070994138,0.09273231741202194,0.0573880027332197,0.08246962859745972,0.07755911054929078,-0.014364493341879775,-0.010597457189170895,0.04535422358887167,0.0763682120243184,0.04052739277432636,0.002217091757262103,-0.01427412179017434,-0.04350103151193356,0.04353325704555208,0.06203368261000424,0.08822022721186429,0.01329859889842647,-0.002600469578026666,-0.02717750697741108,-0.0182714729013135
enterocyte of epithelium of large intestine,0.4215448175234435,0.25004798435259157,0.38469406521544436,0.09754306574825408,0.25162954140654914,0.1365382284622858,-0.15564475700938435,0.23452333790431035,0.11197523908718096,0.09813380730514684,0.16321729549357678,0.12770662540194117,0.535537509639747,0.10161799740655311,0.13657983703554077,-0.03996826672418395,0.033270898398998563,0.04793253582753533,0.18462325957266235,0.2665014427515069
enterocyte of epithelium of small intestine,0.5620857296457475,0.6618935714129555,0.5588445332590635,0.15916777769856313,0.4673673123714355,0.0,-0.0219040868489409,0.42784019364162545,0.12396126547066702,0.38919127307071194,0.09798584831909671,0.018950420541975876,0.5844134523639929,0.6339817314917034,0.340398710583659,0.0,0.5202541796703428,0.33144458950106276,0.327441424505755,0.12843440766878952
extravillous trophoblast,-0.012661435497798051,-0.0698207533966045,0.0,-0.012661604639131813,-0.018596566575616126,0.0,-0.02154563086133083,0.0,0.0,0.07505416304588722,0.10960768537409857,0.03675505804811628,0.05229832933885398,0.0172967701481388,-0.07546849442503044,-0.015533024903001822,-0.017966028885129263,-0.015210081369994265,0.0721293083093033,0.12274227373591218
hepatocyte,0.7203162530668026,0.8752288618208781,0.76584254487403,0.812838713441589,0.888737279498218,0.6213884021781882,0.5127840212044411,0.12591944586971637,0.18718516088679088,0.7040010119252297,-0.008613741624551304,0.10500935930416262,0.6758053553264103,0.8480983360584908,0.762914335882908,0.8463758344729002,0.749785257178947,0.7017675531253065,0.77375165529399,0.6825591268571185
intestinal crypt stem cell,0.4367824281295821,0.6219354608996839,0.4522746598185622,0.13959283320719443,0.2677942291895349,0.0,0.0,-0.06090877430782093,0.14675606446135475,0.1462930145397155,0.49119918362828474,0.4106915970710016,0.6449755043306686,0.04060162139392355,0.5960297597622985,0.0,0.23576825512020683,0.49433834660338744,0.5734552664477617,0.5942374919240125
macrophage,0.18885868860602667,0.12642652880797223,0.13030934694274213,0.12276731275270533,0.12747115195786163,0.11587111368709083,-0.016567960757026667,0.20231241342489376,0.08204645178558134,0.11335588050269373,0.025630473212745183,0.025922143040020884,0.05422270977692051,0.11147242726507618,-0.014663192348488535,0.1018391926732863,0.12614800587921093,0.13740173406508058,-0.04434746892847555,-0.06401102878010295
monocyte,0.20130338302917733,0.15302862301733322,0.18171445973504913,0.1513656661015766,0.16480059088030646,0.17141493439890232,0.002686299240935922,0.2019935591110636,0.027292407427015653,0.18932065508036244,0.03651633729138504,-0.02066931299109026,0.026389197826168553,0.22694469167295658,0.009769715967200228,0.1217712551627251,0.17488007207535045,0.13704693277366065,-0.07110160668003265,-0.06872513323681845
natural killer cell,0.1508416868814219,0.12541738162225013,0.14750046955672844,0.1351957335949038,0.14214116266131632,0.17999846174239345,0.01477996631066344,0.090669466031605,0.09913690127837847,0.14860221303277305,-0.0011886177132021706,0.03601955071766208,-0.011777659798616783,0.17876163528436023,0.11207091277295352,0.19508459992913796,0.1419984438841087,0.08513650392130265,-0.021044982688558738,-0.0020129435545768785
