,CYP3A4,CYP3A5,CYP2B6,CYP2C8,CYP2C9,CYP1A2,CYP7A1,UGT1A1,UGT1A6,SULT2A1,GSTA1,GSTA2,ABCB1,ABCC2,ABCC3,SLCO1B1,G6PC1,PCK1,CPT1A,NFKB1
"CD4-positive, alpha-beta T cell",0.22535256557529607,0.2542944534118044,0.2923610385404058,0.2434189178037039,0.29056403150597426,0.12823978850428844,-0.004466058264368033,0.1481938028417746,0.09783121402661522,0.20746627737215606,0.06369788097776584,0.06286732856579857,0.0801853075752763,0.22679795746523715,0.2650265742462069,0.27203235615452437,0.1799526566361413,0.1763232877457934,0.07666136097460324,0.08390730934274054
"CD8-positive, alpha-beta T cell",0.10872175429066064,0.14679740659483212,0.12362315514287424,0.13468244747860142,0.138801145491746,0.023632373172076056,-0.006177720522008282,0.11129007476486634,0.20214859386691095,0.09434411661770806,0.0541749696666642,0.03017065143231235,-0.0009336361402002905,0.11546728035213018,0.1226493760320492,0.1934836111406394,0.07216361719035898,0.052831301043095975,0.023681880453357177,0.032185277584369114
enterocyte of epithelium of large intestine,0.6290269073730466,0.481207468171074,0.564015420360222,0.24276284968967152,0.4462075544487743,0.259319134302584,0.0,0.45686903885949653,0.3141253742046659,0.24772720000539297,0.33015670850308615,0.2579069302563076,0.6999140259823987,0.27616626664729504,0.36564133831472995,0.07085385361123628,0.24578680707418327,0.24633815632328188,0.4107037078253065,0.4738167032676117
enterocyte of epithelium of small intestine,0.6816507204570292,0.7764525317389213,0.6757640198722031,0.34202755504084714,0.6395093808687909,0.0,0.14779888731229712,0.58975919229931,0.32778746471275616,0.5537823266430688,0.30488794777881795,0.20443449849755174,0.7099096259962558,0.7555563372225113,0.5034049687576628,0.0,0.651023676126984,0.47090890600100993,0.4857094723015091,0.3167347389666903
extravillous trophoblast,0.0,0.02449045602355377,0.0,0.0,-0.00858264592812752,0.0,-0.009571310542974039,0.0,0.0,0.25359711150370323,0.365625259236357,0.20982053330354222,0.18706456081790107,0.15783981153752485,-0.001044402213009294,0.0,-0.00672260419503977,0.0,0.17858429937824188,0.2095377426720578
hepatocyte,0.7688981938801884,0.8999103555074488,0.8037281487756575,0.8482250899872245,0.9177443870204249,0.6824707094909438,0.5891291079783514,0.22466742654719798,0.27435770154746625,0.7554551637088786,0.09693256869906046,0.22137887663703337,0.7284296835403815,0.8698158561972302,0.8004501766614526,0.8757563807209499,0.7877195954288554,0.7514484356181221,0.8187738024726294,0.7315825853113993
intestinal crypt stem cell,0.6265615899193829,0.766733334745303,0.6370880308025847,0.27567877928169765,0.5171009893393033,0.0,0.0,0.1970465659718876,0.2931223177819872,0.377049340825446,0.6352826004698128,0.6141604858944373,0.7988327365105117,0.24060958001325794,0.7498111525425133,0.0,0.436424295788178,0.6853514966709601,0.7416182410797569,0.7596195543917609
macrophage,0.23690559980436254,0.16792178604385163,0.1824268207359852,0.17558794104979505,0.1799524263418903,0.16844277952565873,0.009996162604497389,0.2631063098441819,0.1521340454206265,0.1582411980820435,0.06547709484475525,0.06518580592463129,0.09077715370556258,0.15707506892611833,0.01850220969140303,0.15755231056358496,0.18018507242588933,0.18340372125964557,-0.008798057151842965,-0.029744774928731343
monocyte,0.2566521940968958,0.19918713518055103,0.2407162232668051,0.20236843092810924,0.2267863025993111,0.24408543226092724,0.054863731553308974,0.2850666254618746,0.10236598652464131,0.2452674154008306,0.0840625867907865,0.016177529408741308,0.07655865768113074,0.28748937290316057,0.05712495911009021,0.19788722857631771,0.23927958190206108,0.19283298128498635,-0.03270764608093671,-0.030852077608903673
natural killer cell,0.20250403294882202,0.16525121611033514,0.20078732447137176,0.17953365020431697,0.18582521510580988,0.24790130542014796,0.0733145259889686,0.14241829649910748,0.17516214461817545,0.2015987988898216,0.037088771065289974,0.07322407650648798,0.019488669894509304,0.22977816371772344,0.16100103252739256,0.26073855079595976,0.2007162639423535,0.12471266116829932,0.01142480524228668,0.0265416230462372
