,CYP3A4,CYP3A5,CYP2B6,CYP2C8,CYP2C9,CYP1A2,CYP7A1,UGT1A1,UGT1A6,SULT2A1,GSTA1,GSTA2,ABCB1,ABCC2,ABCC3,SLCO1B1,G6PC1,PCK1,CPT1A,NFKB1
"CD4-positive, alpha-beta T cell",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8642714570858283,1.0,0.05588822355289421,1.0,1.0,1.0,0.782435129740519,0.4151696606786427
"CD8-positive, alpha-beta T cell",1.0,0.17564870259481039,1.0,1.0,1.0,1.0,1.0,0.033932135728542916,1.0,1.0,1.0,1.0,0.47904191616766467,1.0,1.0,1.0,1.0,1.0,0.13373253493013973,0.592814371257485
enterocyte of epithelium of large intestine,0.001996007984031936,0.011976047904191617,0.005988023952095809,0.08582834331337326,0.02594810379241517,0.3872255489021956,0.313373253493014,0.0499001996007984,0.15568862275449102,0.2994011976047904,0.5948103792415169,0.5568862275449101,0.001996007984031936,0.2834331337325349,0.36127744510978044,0.29740518962075846,0.6167664670658682,0.6087824351297405,0.10179640718562874,0.34930139720558884
enterocyte of epithelium of small intestine,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.3033932135728543,0.001996007984031936,1.0,0.281437125748503,0.001996007984031936,0.1536926147704591,0.001996007984031936,0.3912175648702595,0.6646706586826348,0.001996007984031936,0.001996007984031936,0.001996007984031936,1.0,0.001996007984031936,0.001996007984031936,0.03992015968063872,0.04590818363273453
extravillous trophoblast,1.0,0.8003992015968064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3652694610778443,1.0,0.3592814371257485,1.0,1.0,1.0,0.8682634730538922,0.626746506986028
hepatocyte,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.031936127744510975,0.07784431137724551,0.001996007984031936,0.48902195608782434,0.41317365269461076,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936
intestinal crypt stem cell,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.45708582834331335,0.011976047904191617,1.0,1.0,0.8063872255489022,0.22554890219560877,0.017964071856287425,0.001996007984031936,0.005988023952095809,0.001996007984031936,0.5888223552894212,0.001996007984031936,1.0,0.03992015968063872,0.001996007984031936,0.001996007984031936,0.001996007984031936
macrophage,0.10978043912175649,0.7245508982035929,0.14570858283433133,1.0,1.0,0.015968063872255488,1.0,0.041916167664670656,1.0,0.21956087824351297,0.8522954091816367,1.0,0.5508982035928144,0.9520958083832335,0.7684630738522954,0.05788423153692615,1.0,0.6287425149700598,0.8542914171656687,0.9840319361277445
monocyte,1.0,0.5429141716566867,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07385229540918163,0.015968063872255488,0.9620758483033932,1.0,0.6127744510978044,1.0,1.0,1.0,0.11976047904191617,0.41317365269461076
natural killer cell,0.005988023952095809,0.20758483033932135,0.12375249500998003,1.0,1.0,1.0,1.0,0.013972055888223553,1.0,1.0,0.6786427145708582,1.0,0.32934131736526945,0.04790419161676647,0.7684630738522954,1.0,1.0,1.0,0.4151696606786427,0.2994011976047904
