,CYP3A4,CYP3A5,CYP2B6,CYP2C8,CYP2C9,CYP1A2,CYP7A1,UGT1A1,UGT1A6,SULT2A1,GSTA1,GSTA2,ABCB1,ABCC2,ABCC3,SLCO1B1,G6PC1,PCK1,CPT1A,NFKB1
"CD4-positive, alpha-beta T cell",0.004073485681697828,0.004073485681697828,0.004073485681697828,0.004073485681697828,0.004073485681697828,0.02587417757078436,1.0,0.004073485681697828,0.1309880239520958,0.004073485681697828,0.49650698602794413,0.6109731756000195,0.17065106428364646,0.004073485681697828,0.004073485681697828,0.004073485681697828,0.004073485681697828,0.004073485681697828,0.13204360509749732,0.04552298910950029
"CD8-positive, alpha-beta T cell",0.06427822321458777,0.004073485681697828,0.011627230974943318,0.004073485681697828,0.004073485681697828,0.4983821177520735,1.0,0.04277159965782721,0.04552298910950029,0.08438407737370786,0.9843948466702958,0.6396844864487893,0.04859845526338627,0.03956051860243478,0.011627230974943318,0.004073485681697828,0.6169479223371439,1.0,0.3448884543837495,0.5371972105172371
enterocyte of epithelium of large intestine,0.004073485681697828,0.02587417757078436,0.007904982114977964,0.40181075756982765,0.0326619488296135,0.18447952579689106,0.3070781513895286,0.0326619488296135,0.36973033798175464,0.3965752705116084,0.18909549322407815,0.24124413044414766,0.004073485681697828,0.40697825128962856,0.25480952987641736,0.7747817973520416,0.8917836840938007,0.7747817973520416,0.07853146166683028,0.01535390756947643
enterocyte of epithelium of small intestine,0.004073485681697828,0.004073485681697828,0.004073485681697828,0.20699342056627484,0.004073485681697828,1.0,0.9843948466702958,0.004073485681697828,0.286750442776419,0.004073485681697828,0.4775259607367543,1.0,0.004073485681697828,0.004073485681697828,0.004073485681697828,1.0,0.004073485681697828,0.004073485681697828,0.004073485681697828,0.22728266095546135
extravillous trophoblast,1.0,0.32211439190584346,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07715661114745298,0.19364256561503856,1.0,0.3939141584380907,0.9045492829370161,0.23431398073418377,1.0,1.0,1.0,0.3417821890465644,0.07853146166683028
hepatocyte,0.004073485681697828,0.004073485681697828,0.004073485681697828,0.004073485681697828,0.004073485681697828,0.004073485681697828,0.004073485681697828,0.022596316800361543,0.004073485681697828,0.004073485681697828,0.9843948466702958,0.05800365081802208,0.004073485681697828,0.004073485681697828,0.004073485681697828,0.004073485681697828,0.004073485681697828,0.004073485681697828,0.004073485681697828,0.004073485681697828
intestinal crypt stem cell,0.004073485681697828,0.004073485681697828,0.004073485681697828,0.4196734735656892,0.05162089613875697,1.0,1.0,0.717128617017462,0.4220857647761801,0.36973033798175464,0.004073485681697828,0.007904982114977964,0.004073485681697828,0.8935617137817388,0.004073485681697828,1.0,0.09900199600798404,0.004073485681697828,0.004073485681697828,0.004073485681697828
macrophage,0.004073485681697828,0.004073485681697828,0.004073485681697828,0.004073485681697828,0.004073485681697828,0.004073485681697828,0.3885562208915502,0.004073485681697828,0.007904982114977964,0.004073485681697828,0.22014793941528704,0.13204360509749732,0.004073485681697828,0.004073485681697828,0.4196734735656892,0.004073485681697828,0.004073485681697828,0.004073485681697828,0.0190095998479232,0.004073485681697828
monocyte,0.004073485681697828,0.004073485681697828,0.004073485681697828,0.004073485681697828,0.004073485681697828,0.004073485681697828,1.0,0.004073485681697828,0.09014229605305518,0.004073485681697828,0.1257327863957125,0.47954405654100607,0.25480952987641736,0.004073485681697828,0.8218856404837385,0.004073485681697828,0.004073485681697828,0.004073485681697828,0.004073485681697828,0.004073485681697828
natural killer cell,0.004073485681697828,0.004073485681697828,0.004073485681697828,0.004073485681697828,0.004073485681697828,0.004073485681697828,0.11722586572885973,0.004073485681697828,0.004073485681697828,0.004073485681697828,1.0,0.07853146166683028,0.5436978803129936,0.004073485681697828,0.004073485681697828,0.004073485681697828,0.004073485681697828,0.004073485681697828,0.3160345974717232,1.0
