drug,gene,gene_class,donor,log2FC
rifampin,CYP2C9,PXR panel,8210,0.5022602916612593
rifampin,CYP2C9,PXR panel,4119B,1.6172371647520336
rifampin,CYP2C9,PXR panel,4079,2.1184544177019635
rifampin,CYP3A5,PXR panel,8210,0.7962121245637448
rifampin,CYP3A5,PXR panel,4119B,1.0925767747868171
rifampin,CYP3A5,PXR panel,4079,0.6070394897049329
rifampin,ABCC2,PXR panel,8210,0.5691459993057997
rifampin,ABCC2,PXR panel,4119B,0.6999990380860357
rifampin,ABCC2,PXR panel,4079,0.48784424658333414
rifampin,SLCO1B1,PXR panel,8210,-0.4621630532222145
rifampin,SLCO1B1,PXR panel,4119B,0.04305851440479458
rifampin,SLCO1B1,PXR panel,4079,0.8298579196793376
rifampin,CYP2C8,PXR panel,8210,2.417882792311654
rifampin,CYP2C8,PXR panel,4119B,4.562970239357119
rifampin,CYP2C8,PXR panel,4079,4.542188128453709
rifampin,CPT1A,PXR panel,8210,0.07567448228059703
rifampin,CPT1A,PXR panel,4119B,0.16752791434662573
rifampin,CPT1A,PXR panel,4079,-0.9018646021148111
rifampin,ALB,negative control,8210,-0.7217573420181314
rifampin,ALB,negative control,4119B,0.12068238586691038
rifampin,ALB,negative control,4079,0.46862051736625077
rifampin,HNF4A,negative control,8210,-0.05096938202867829
rifampin,HNF4A,negative control,4119B,-0.021990654165875867
rifampin,HNF4A,negative control,4079,0.5234890703055086
rifampin,GAPDH,negative control,8210,0.10330384132399395
rifampin,GAPDH,negative control,4119B,-0.044574180133491126
rifampin,GAPDH,negative control,4079,0.042434635200084614
rifampin,NR1I2,receptor (NR1I2),8210,-0.3957816859067167
rifampin,NR1I2,receptor (NR1I2),4119B,-0.13458601898772393
rifampin,NR1I2,receptor (NR1I2),4079,-0.10597585481996763
rifabutin,CYP2C9,PXR panel,8210,1.2256752089342333
rifabutin,CYP2C9,PXR panel,4119B,1.5490421863854387
rifabutin,CYP2C9,PXR panel,4079,3.6564616387332993
rifabutin,CYP3A5,PXR panel,8210,1.2777812237246895
rifabutin,CYP3A5,PXR panel,4119B,1.0673531247593733
rifabutin,CYP3A5,PXR panel,4079,1.2931808912954956
rifabutin,ABCC2,PXR panel,8210,0.5066333942282348
rifabutin,ABCC2,PXR panel,4119B,0.661837109837192
rifabutin,ABCC2,PXR panel,4079,0.45262942237560644
rifabutin,SLCO1B1,PXR panel,8210,-0.17380605729079335
rifabutin,SLCO1B1,PXR panel,4119B,0.1827326943140548
rifabutin,SLCO1B1,PXR panel,4079,0.7920278520116826
rifabutin,CYP2C8,PXR panel,8210,3.26723572262339
rifabutin,CYP2C8,PXR panel,4119B,3.556644528845366
rifabutin,CYP2C8,PXR panel,4079,5.988847275634896
rifabutin,CPT1A,PXR panel,8210,-0.01244865943860951
rifabutin,CPT1A,PXR panel,4119B,0.4176243141117464
rifabutin,CPT1A,PXR panel,4079,-1.8679663463702436
rifabutin,ALB,negative control,8210,-0.5199397971485045
rifabutin,ALB,negative control,4119B,-0.06392731555993336
rifabutin,ALB,negative control,4079,1.2613861567112767
rifabutin,HNF4A,negative control,8210,0.3013728054917584
rifabutin,HNF4A,negative control,4119B,-0.03652206269101299
rifabutin,HNF4A,negative control,4079,0.8680746057523319
rifabutin,GAPDH,negative control,8210,-0.04738090551398777
rifabutin,GAPDH,negative control,4119B,0.14991510571412192
rifabutin,GAPDH,negative control,4079,-0.5499642714702944
rifabutin,NR1I2,receptor (NR1I2),8210,0.026223984727243632
rifabutin,NR1I2,receptor (NR1I2),4119B,0.17943752764981724
rifabutin,NR1I2,receptor (NR1I2),4079,0.69304146977138
rifapentine,CYP2C9,PXR panel,8210,0.16001970572439905
rifapentine,CYP2C9,PXR panel,4119B,1.4864326564363166
rifapentine,CYP2C9,PXR panel,4079,1.6498610254861648
rifapentine,CYP3A5,PXR panel,8210,-0.014572813570856269
rifapentine,CYP3A5,PXR panel,4119B,0.628291606833459
rifapentine,CYP3A5,PXR panel,4079,0.6773021693975814
rifapentine,ABCC2,PXR panel,8210,0.010277606471550627
rifapentine,ABCC2,PXR panel,4119B,0.2305910564038225
rifapentine,ABCC2,PXR panel,4079,0.33511017259977827
rifapentine,SLCO1B1,PXR panel,8210,-0.48085245179442104
rifapentine,SLCO1B1,PXR panel,4119B,0.8617963772421025
rifapentine,SLCO1B1,PXR panel,4079,0.855412687563291
rifapentine,CYP2C8,PXR panel,8210,1.8373845136950964
rifapentine,CYP2C8,PXR panel,4119B,3.68442728754134
rifapentine,CYP2C8,PXR panel,4079,3.9616666041634896
rifapentine,CPT1A,PXR panel,8210,-0.030832361112884676
rifapentine,CPT1A,PXR panel,4119B,-0.6738812169016501
rifapentine,CPT1A,PXR panel,4079,-0.524073410755423
rifapentine,ALB,negative control,8210,-0.24886247672172424
rifapentine,ALB,negative control,4119B,0.8540252585080523
rifapentine,ALB,negative control,4079,0.8517339851727694
rifapentine,HNF4A,negative control,8210,0.08667362864524542
rifapentine,HNF4A,negative control,4119B,0.6436786702273896
rifapentine,HNF4A,negative control,4079,0.6709394446759678
rifapentine,GAPDH,negative control,8210,0.061183855397445086
rifapentine,GAPDH,negative control,4119B,0.04143238558425466
rifapentine,GAPDH,negative control,4079,0.04056259439727583
rifapentine,NR1I2,receptor (NR1I2),8210,-0.29522558158312506
rifapentine,NR1I2,receptor (NR1I2),4119B,0.09607159558391576
rifapentine,NR1I2,receptor (NR1I2),4079,0.3688850992363708
