drug,gene,gene_class,n_donors,mean_log2FC,median_log2FC,std_log2FC,t_stat,p_value
rifampin,CYP2C9,PXR panel,3,1.4126506247050854,1.6172371647520336,0.8272923319712355,2.957579274913665,0.09783243314470239
rifampin,CYP3A5,PXR panel,3,0.8319427963518317,0.7962121245637448,0.24473276135612232,5.887921111532264,0.02765440496441434
rifampin,ABCC2,PXR panel,3,0.5856630946583898,0.5691459993057997,0.10703749211633094,9.477036653324046,0.010951526588527506
rifampin,SLCO1B1,PXR panel,3,0.13691779362063924,0.04305851440479458,0.6511042326890194,0.36422520866093655,0.7505926839606191
rifampin,CYP2C8,PXR panel,3,3.841013720040827,4.542188128453709,1.2325113395534637,5.397784752301069,0.03265009500375267
rifampin,CPT1A,PXR panel,3,-0.2195540684958628,0.07567448228059703,0.592680361966809,-0.6416254461027476,0.5868369744920706
rifampin,ALB,negative control,3,-0.04415147959499007,0.12068238586691038,0.6120682269408124,-0.12494130968059275,0.9119959282887068
rifampin,HNF4A,negative control,3,0.1501763447036515,-0.021990654165875867,0.32362282828835204,0.8037537416548921,0.5058868181145211
rifampin,GAPDH,negative control,3,0.033721432130195815,0.042434635200084614,0.07432305993665723,0.7858561502077962,0.5142711343203019
rifampin,NR1I2,receptor (NR1I2),3,-0.21211451990480276,-0.13458601898772393,0.15970239908594816,-2.300485951375569,0.1480987817265032
rifabutin,CYP2C9,PXR panel,3,2.1437263446843238,1.5490421863854387,1.3200066677568574,2.8128971142448016,0.10656152038006207
rifabutin,CYP3A5,PXR panel,3,1.2127717465931862,1.2777812237246895,0.12617138789106247,16.648642122389177,0.0035883915929829555
rifabutin,ABCC2,PXR panel,3,0.5403666421470111,0.5066333942282348,0.10860669010064866,8.61772399146545,0.013199256159219432
rifabutin,SLCO1B1,PXR panel,3,0.26698482967831466,0.1827326943140548,0.48839799531192185,0.9468328991760627,0.44366403967462065
rifabutin,CYP2C8,PXR panel,3,4.270909175701218,3.556644528845366,1.4947985987023507,4.948781523643657,0.038490217828824315
rifabutin,CPT1A,PXR panel,3,-0.48759689723236893,-0.01244865943860951,1.2146215677030896,-0.6953133569136896,0.5587833128309565
rifabutin,ALB,negative control,3,0.22583968133427965,-0.06392731555993336,0.9253400579465005,0.4227265415313433,0.7136079051434259
rifabutin,HNF4A,negative control,3,0.37764178285102573,0.3013728054917584,0.4570957239137892,1.4309798161276073,0.28873870490891496
rifabutin,GAPDH,negative control,3,-0.1491433570900534,-0.04738090551398777,0.360866295274427,-0.7158437223817581,0.548382208814016
rifabutin,NR1I2,receptor (NR1I2),3,0.299567660716147,0.17943752764981724,0.34926326208613373,1.48560259549131,0.2757047858933371
rifapentine,CYP2C9,PXR panel,3,1.0987711292156268,1.4864326564363166,0.8170788727428204,2.32918447065307,0.14522320506401926
rifapentine,CYP3A5,PXR panel,3,0.430340320886728,0.628291606833459,0.3860845525534106,1.93059083921311,0.19328564091402664
rifapentine,ABCC2,PXR panel,3,0.1919929451583838,0.2305910564038225,0.16582041384627164,2.0054318282994856,0.1827662441771927
rifapentine,SLCO1B1,PXR panel,3,0.41211887100365746,0.855412687563291,0.7733424373318015,0.9230203708968311,0.4534384604390471
rifapentine,CYP2C8,PXR panel,3,3.1611594684666424,3.68442728754134,1.1547729247910972,4.741441968950001,0.041717735553602656
rifapentine,CPT1A,PXR panel,3,-0.4095956629233193,-0.524073410755423,0.3364622174841377,-2.1085294629745195,0.16950311074894936
rifapentine,ALB,negative control,3,0.48563225565303253,0.8517339851727694,0.6360921288603354,1.3223552099164817,0.3170133254626041
rifapentine,HNF4A,negative control,3,0.46709724784953427,0.6436786702273896,0.3297383583877547,2.4535700647833107,0.13361461813167771
rifapentine,GAPDH,negative control,3,0.047726278459658524,0.04143238558425466,0.011662714819224984,7.087915672262139,0.019329771497821408
rifapentine,NR1I2,receptor (NR1I2),3,0.0565770377457205,0.09607159558391576,0.3338122438868285,0.29356114316331905,0.796753594073772
