tissue,CYP2C8,CYP2C9,SLCO1B1,ABCC2,CYP3A5,ALB,HNF4A,GAPDH
Adipose_Subcutaneous,0.1348057242028099,0.09001253458042384,0.07058573985455142,0.18178765315930767,0.07107697650617201,0.16438198694632297,0.06405354590297127,0.042897740506390954
Adipose_Visceral_Omentum,0.10265457183974408,0.055645153787523716,0.06230890217803159,0.0733706414693362,0.035403354663870276,0.13887809658593867,0.21645380605411632,0.07530093495369984
Adrenal_Gland,0.034678881966102415,0.10059964930774233,0.030572944285709655,-0.01509397046505477,0.01563830651395425,0.044384358616201006,0.3120627687885819,0.16247472660011184
Artery_Aorta,0.15742635152575735,0.1863850844236231,0.0753042010138536,0.013370545846876093,0.10249060028387427,0.22122943562903152,0.05031514922927157,0.0932579362373665
Artery_Coronary,0.21911876387440768,0.03804118437679139,-0.011622250449664697,0.05932701301762788,0.25336296087265714,0.168552521619804,0.12340735035289814,-0.01267922815372085
Artery_Tibial,0.15290771082544496,0.07532025167462546,0.015505671395295663,0.1275897430885241,0.1199771544610706,0.20295139710100854,0.11310921996154999,0.07744078446882821
Bladder,0.49610389610389616,0.4230164506819667,0.06111556932119529,0.22077922077922077,0.6675324675324676,0.5272727272727272,0.641092869747194,0.06753246753246753
Brain_Amygdala,0.526950670886579,0.13470237072979074,0.038257405354966356,0.29009930425553904,0.4760111537890189,0.46152820991499216,0.4356138131761993,0.5529963444318032
Brain_Anterior_cingulate_cortex_BA24,0.5880482568983977,0.1756159558940601,-0.04564577704116545,0.25842206923892624,0.6516900553548252,0.3277421030595087,0.720655517585279,0.7658238993433811
Brain_Caudate_basal_ganglia,0.6879329333111798,0.07465901105075012,0.12498619289361856,0.3471154123251187,0.5244094278732815,0.5993003538938214,0.17248109805764522,0.6750776971744472
Brain_Cerebellar_Hemisphere,0.3046861411665574,0.1629430504903239,0.07903988648011749,0.27602075299072126,0.2964278848590916,0.26915201711805586,0.3405019831702441,0.3604062445585272
Brain_Cerebellum,0.17009199935888622,0.21574685131674978,0.0793987684238184,0.12432020916792454,0.2509387885816429,0.29990970081131574,0.14155260636336456,0.23339914886740581
Brain_Cortex,0.42159549544205166,0.0947481324402001,-0.01093872856219404,0.15047499392990762,0.37013910927138494,0.23656667850578697,0.5110600287321122,0.524725588370195
Brain_Frontal_Cortex_BA9,0.5142534343360904,0.16070416202081478,0.16706535575941836,0.21646127859898268,0.46362212238771733,0.3064048480757759,0.520226590395708,0.560656454207695
Brain_Hippocampus,0.5705146014358785,0.11440888928026163,0.06396209898364343,0.2541048675299009,0.5406788160955004,0.4670971362221746,0.502477240616918,0.6666692827112487
Brain_Hypothalamus,0.7420942383603868,-0.020728997853989763,-0.04409518225767225,0.246855019702307,0.5023838962973595,0.44131076892841414,0.2150432297109349,0.681080573474608
Brain_Nucleus_accumbens_basal_ganglia,0.6889761526283376,0.052165091571091615,-0.002107843011072643,0.5117152131212264,0.5438737097510544,0.6526228265033767,0.046725422252722616,0.6411895826297831
Brain_Putamen_basal_ganglia,0.7413969806923023,-0.07600366720079056,0.04212592629496432,0.44482387212124036,0.48942392618147584,0.6073549108997355,0.2324713238032759,0.7309279884833282
Brain_Spinal_cord_cervical_c-1,0.39258171297555267,0.09240346474668111,0.13167696945495988,0.3113025460091969,0.2920516688966199,0.1091254487680482,-0.09389770429417507,0.4074445645669062
Brain_Substantia_nigra,0.6556011591367061,0.14168586772777064,0.026535487440963554,0.29981980693778754,0.3622369013429076,0.32721037139329967,0.11569064415709025,0.6740509121949269
Breast_Mammary_Tissue,0.4654076088260231,-0.04683046956624274,0.22692461499073602,-0.03784606574145028,-0.26590482593879383,0.3428988378081161,0.12764760825562127,0.22648989414329032
Cells_Cultured_fibroblasts,0.41810228214203454,0.17702929751033072,0.11326602968569284,0.36099621167836055,0.3353398073337607,0.3532295069084558,0.3679647840363898,-0.45260857228969675
Cells_EBV-transformed_lymphocytes,-0.1144536012844912,-0.0616358715418712,-0.06075488779046455,-0.0018087178377393309,0.097283229258714,-0.04287981797887511,0.09943380917922737,0.11458870201221605
Cervix_Ectocervix,0.2333333333333333,-0.35983578576496095,0.4059604926204365,0.5499999999999999,-0.8166666666666667,0.03333333333333333,-0.00836827408755723,-0.5833333333333334
Cervix_Endocervix,0.5151515151515151,0.4627259956157345,0.5705951008000594,0.6363636363636362,0.16363636363636364,0.09090909090909088,0.11657319263657127,0.10303030303030303
