tissue,CYP2C8,CYP2C9,SLCO1B1,ABCC2,CYP3A5,ALB,HNF4A,GAPDH
Adipose_Subcutaneous,0.0005006047855532024,0.020446762887459353,0.06931923094730717,2.4615507879860892e-06,0.06739869494468431,2.103441819905964e-05,0.0993770267122648,0.27003228708628024
Adipose_Visceral_Omentum,0.016918479156697357,0.19625984161698007,0.14780661261892578,0.08821143776220718,0.41118275820316835,0.0012017815294959437,3.7087940542292467e-07,0.08013746406234369
Adrenal_Gland,0.5792453655918647,0.10693680876620518,0.6249805147250013,0.8093369110992436,0.802599748748729,0.47782416115778353,3.113030018877339e-07,0.008937052564773404
Artery_Aorta,0.0010268718490964875,9.742492015666971e-05,0.1180871104584595,0.7816965814867963,0.03319919433929531,3.442309919687673e-06,0.2967576521781784,0.05275308328356014
Artery_Coronary,0.0006297006378914771,0.5575617236268858,0.8578457097375629,0.36014017703871604,7.200782469000197e-05,0.008888399982897737,0.05624390844462448,0.8450734742651639
Artery_Tibial,7.7168664405859e-05,0.05256229290615218,0.6902448646985135,0.0009928411271206772,0.0019706415013358404,1.3580051553935032e-07,0.0035421751960249127,0.046235443029154256
Bladder,0.022176831557460017,0.056053894297976255,0.7924249212413382,0.3361880870952679,0.0009457098107349513,0.01404056325206447,0.0017377565179936747,0.7711624988673798
Brain_Amygdala,3.084011860738391e-12,0.09801321491537365,0.6398226818814594,0.0002885818117874684,5.716965212486161e-10,2.171430674779711e-09,2.0354811309718175e-08,1.4972638338608507e-13
Brain_Anterior_cingulate_cortex_BA24,9.415676184513195e-18,0.0197345928621382,0.5474681519254793,0.0005343094748135808,1.187228281800495e-22,8.984524803384132e-06,1.7402811099305388e-29,3.3870075019739877e-35
Brain_Caudate_basal_ganglia,8.014786329896044e-36,0.2433534877753518,0.05022625131878542,2.252690903081493e-08,8.799262696300442e-19,2.240976867726329e-25,0.006691174725926894,4.423124660965003e-34
Brain_Cerebellar_Hemisphere,5.359810562368763e-06,0.01678931232808976,0.24849918981587474,4.06647915511412e-05,9.828337132625436e-06,6.39998186395803e-05,3.0981543383348207e-07,5.3992799709719726e-08
Brain_Cerebellum,0.00814211547125607,0.0007471292322215889,0.21939752837394697,0.05392753040603556,8.196945645229317e-05,2.1241826431276857e-06,0.028010642189294645,0.00025708027880322456
Brain_Cortex,2.070031094239198e-12,0.1313065857566829,0.8620033986440103,0.016181508707551855,1.0632213015761486e-09,0.00013708154665281424,2.273789351943374e-18,1.9180705598441012e-19
Brain_Frontal_Cortex_BA9,1.6619280544944178e-15,0.02010041994761799,0.015616052809632828,0.0016440091212785626,1.5563650769032038e-12,6.419517430908853e-06,6.86375248994952e-16,1.066250155553076e-18
Brain_Hippocampus,2.0999357586468783e-18,0.10941076887177213,0.37188259866389395,0.00031437342816724044,2.379744234726218e-16,4.542670647771952e-12,5.333131966075984e-14,1.0975054917109445e-26
Brain_Hypothalamus,1.3550493753176162e-36,0.7696616042221298,0.5332028850737508,0.00039760929019194686,2.5776769106509358e-14,4.902887604170981e-11,0.002116279961674164,6.953179063416333e-29
Brain_Nucleus_accumbens_basal_ganglia,5.7353883433338357e-36,0.4153212912869835,0.9737608088321408,8.07972799221626e-18,2.4390147299112558e-20,3.0601502020861806e-31,0.46568023363429356,6.937827030556614e-30
Brain_Putamen_basal_ganglia,5.1206189378851945e-37,0.2787550481852381,0.5486864109693549,2.356150304582433e-11,9.571565190385652e-14,4.699212088182343e-22,0.0007959412913402825,1.5809883027473661e-35
Brain_Spinal_cord_cervical_c-1,3.0846138252586657e-07,0.2466803393809743,0.09802702745597587,6.493777108374925e-05,0.00018745714785717602,0.17091950556114527,0.23908938663948298,9.80673182537943e-08
Brain_Substantia_nigra,1.991993269554311e-18,0.09615807296722724,0.7565014151854639,0.00033610203176788787,1.1764695405462777e-05,8.434348715552468e-05,0.17503104317485899,9.535234447310087e-20
Breast_Mammary_Tissue,4.734358927171561e-26,0.3167673824340321,8.98425331237904e-07,0.4185704626363041,7.2180789698876496e-09,4.136231155884102e-14,0.006171779131531335,9.43789973395392e-07
Cells_Cultured_fibroblasts,9.576771659872491e-23,6.441239357145579e-05,0.010937291947300769,5.857935740949299e-17,1.0360724846323438e-14,2.951227747434464e-16,1.321574315470099e-17,8.025304781383692e-27
Cells_EBV-transformed_lymphocytes,0.1326300521036261,0.4191243298206858,0.425816059768681,0.9811025321883232,0.20158959659081974,0.5742487085064404,0.1917547317589485,0.13217044803432124
Cervix_Ectocervix,0.5456987782182728,0.3415091184940341,0.27830839347782227,0.12497678418833195,0.00722478524635879,0.9321567355405039,0.9829532868330846,0.09918581647988327
Cervix_Endocervix,0.1275528697032343,0.17809350988104583,0.08497172598894813,0.047911726129975435,0.6514773427962428,0.8027717312071619,0.7484333039892889,0.7769984634438898
Colon_Sigmoid,0.0005311103371988828,2.10402168492814e-22,0.003938779890580267,0.012689965234613233,2.1255135017296797e-31,0.4370165756617384,6.553823971061745e-94,2.582954924786408e-06
Colon_Transverse,7.964928479439695e-40,6.983677924220154e-108,0.3406957502240512,7.297289827578151e-08,6.245209490629413e-145,0.13423582359467626,4.4741339421188184e-213,3.6734669673804734e-06
Esophagus_Gastroesophageal_Junction,0.012279902346245411,0.0755396631865459,0.4012910768079289,0.7153946791983995,0.049114123123584146,0.04392959353762164,0.17640574239837023,0.30282609243806896
Esophagus_Mucosa,1.573975735635222e-07,0.48950872709156923,6.124919293301994e-05,5.386511414758688e-07,0.5150252855924871,4.2177112435616975e-05,3.095661544550989e-05,0.08861575956433197
Esophagus_Muscularis,9.81108532917188e-06,5.475907096277275e-05,0.010092249819683086,0.001991609841134099,6.577636089075165e-05,9.303484701986674e-06,0.00506700532265115,0.5010552628052606
Fallopian_Tube,0.00023589981215941643,0.4443546956852246,0.006573427983343722,0.058073058017148654,0.012519873019449885,0.0670857868923457,0.009627924725379839,0.8983528043506303
Heart_Atrial_Appendage,1.6573575798049815e-06,0.10055895090260954,0.8956712400196754,0.6129314524133954,2.769236291178972e-05,0.020689388866734385,0.0015793744380584887,2.289173514530252e-07
Heart_Left_Ventricle,0.2906464265622173,0.33039908139470603,0.12679455021727087,0.004200377273953036,7.067418710469174e-17,0.06828062449462802,7.065952841246211e-07,2.2272798163183576e-30
Kidney_Cortex,8.631822296330587e-05,0.021306310709535935,0.8387796718846543,0.341544821812577,0.052917839526785596,0.0005438640749646272,0.6985844466854867,1.1425601968269822e-05
Kidney_Medulla,,,,,,,,
Liver,7.878785359220736e-25,1.4704223021230763e-31,6.301849080043721e-07,2.414478532488885e-12,3.695960625558407e-23,4.581862414549713e-09,2.077545076157356e-09,2.1429021838988894e-07
Lung,2.474155129043751e-19,3.339497432398442e-06,0.10281160035700652,0.27965221947720276,0.0001994507636856929,0.0010346599576960393,1.6944427194289264e-37,0.9614525874049348
Minor_Salivary_Gland,4.999572100895298e-13,0.007101882234812438,0.004877752189203837,2.2331364322815015e-06,0.007488656987444171,0.46884604808117253,0.5520914494806755,0.8568161500768426
Muscle_Skeletal,0.04594777878229834,1.4882052252852498e-09,0.000106018252810164,0.774094249568063,0.00016793214739801668,2.085672058436096e-09,1.0465257755638028e-05,0.4050574437123912
Nerve_Tibial,0.007838029306377883,0.23246698368484356,0.056602568312054596,0.008532352713260275,0.020524490352033513,5.6016201503555456e-18,0.022747952050890165,0.0003723577800060326
Ovary,0.00022500904662872473,0.8913492124030566,0.08780827528107475,6.807300844142906e-05,0.05357436570763226,0.009732389130610994,0.2774970363230345,0.5884507954413157
Pancreas,0.0003195485397997154,0.04529673718086309,0.059484631030521484,9.492425629965513e-10,1.2910963617363146e-06,0.5994567954204547,1.5272869578144812e-09,0.0002928979583753024
Pituitary,2.9719562589657257e-07,0.6959401612880436,0.02281656577585705,0.0022334509237379166,0.45333163105662533,0.0039375661514766324,0.875379015423906,0.021909564502508944
Prostate,7.953000121874255e-08,0.013426575632051317,0.34223038712419035,0.20865145656844986,0.15166610828900434,9.654562925512936e-05,0.013932036568370285,0.4313172591295968
Skin_Not_Sun_Exposed_Suprapubic,1.4189094132688561e-06,0.02512835579611737,1.9062584126774175e-06,0.4937306099086925,8.566481774230317e-07,2.6822499565993616e-08,0.16317922656752543,1.2636111876888397e-06
Skin_Sun_Exposed_Lower_leg,1.445357471963477e-05,0.6236659267656587,0.14720122536429958,0.3048353467584129,0.08714392088644914,2.684031500374214e-13,0.717776998427993,0.09355764790468216
Small_Intestine_Terminal_Ileum,2.4686785088574443e-08,9.60352020716722e-100,0.8052644070822089,1.200537908420073e-53,5.303051705852774e-100,0.8571777154645129,2.7672476380474638e-115,0.13614604772142208
Spleen,3.5889233734649393e-12,0.12955331757484162,0.20232603917726735,0.043391865380039925,3.682348455013114e-08,0.027725728478488178,0.30072863977016845,0.35312650699086173
Stomach,0.0038078831778063957,4.651455926755633e-25,0.2947824101472305,0.003898512799706851,1.7329691791425618e-27,2.6626915223189016e-05,3.166222464111996e-19,0.022099749257937115
Testis,0.836961127394065,0.5797815082757815,0.9010652537359022,0.03931919461927457,0.01909232599700868,0.0014729603438723817,0.17902897249299957,0.09079906841608253
Thyroid,2.911069205307273e-29,0.09675246247904816,0.9532055673440961,0.0064965651317745125,7.9662888523483e-05,2.949664144134599e-24,0.363232374375597,0.042036938606104954
Uterus,0.002239615590424912,0.028610794458870187,0.9131862459530685,0.25273282503160416,0.0016271105720400496,0.0020726663508728134,0.03178498854508873,0.4837263276926384
Vagina,0.004543670179354182,2.114125615728649e-06,0.0046138172290594,0.00021941310563972164,0.000780371585641824,0.08310238925980118,0.7744618427215757,0.014719509219811173
Whole_Blood,3.3184202859430306e-36,3.6177963444381086e-17,2.954735046219412e-18,0.16460825890556294,3.4367791998602246e-25,2.2409141988119232e-23,1.0664736672015687e-24,8.075527971923073e-07
