cellline,tissue,n_signatures,signature_strength_L1,signature_strength_L2,intra_line_rho_median,intra_line_n_pairs
HEPG2,liver,6,0.5931601518236197,0.7397631844191371,0.3103842746902862,15
SKB,,1,0.5729296232597137,0.7743661252067291,,0
NPC,neural progenitor cells,1,0.5076392115950921,0.7509843983459565,,0
HS578T,breast,9,0.4830250457783686,0.6258570744999692,0.21126737897246245,36
SKBR3,breast,5,0.4514246152139059,0.5921753621544255,0.2883439087749186,10
VCAP,prostate,2,0.432524834801636,0.5676534445818633,-0.0007043185438914524,1
HCC515,lung,7,0.41687667619694857,0.5409793005673669,0.11948004502102025,21
PC3,prostate,8,0.40681946476981085,0.5172819689176987,0.3294387092540358,28
HME1,breast,9,0.3876250915312429,0.4949640133920192,0.18173013514849726,36
A375,skin,9,0.38508265190854346,0.503706560244562,0.06795439942755005,36
MCF10A,breast epithelial,9,0.3632757881704158,0.4862728220928867,0.17264880640686656,36
MDAMB231,,10,0.36261488190153374,0.4738943257250105,0.09123743553657747,45
A549,lung,8,0.3581806489330138,0.44898935262712547,0.045454389039686835,28
HA1E,kidney epithelial,7,0.3523872887177914,0.4665888597269539,0.16942059318210556,21
LNCAP,prostate,7,0.34832365816286887,0.47293132550848743,0.18992249587226764,21
BT20,breast,11,0.331771694006978,0.4215641300570104,0.22159087251965523,55
MCF7,breast,7,0.30135148964436165,0.39500542642275804,0.17297762048487336,21
HT29,large intestine,5,0.29143967855120656,0.38038621249906096,-0.05479066306077427,10
