cells_per_metacell,min_metacells,seed,cell_type,gene,rho
15,10,0,"CD4-positive, alpha-beta T cell",CYP3A4,0.11733371339204836
15,10,0,"CD4-positive, alpha-beta T cell",CYP3A5,0.1510328555521234
15,10,0,"CD4-positive, alpha-beta T cell",CYP2B6,0.16608474071905974
15,10,0,"CD4-positive, alpha-beta T cell",CYP2C8,0.13260216757810125
15,10,0,"CD4-positive, alpha-beta T cell",CYP2C9,0.182242991100286
15,10,0,"CD4-positive, alpha-beta T cell",CYP1A2,0.011389812597786658
15,10,0,"CD4-positive, alpha-beta T cell",CYP7A1,-0.004780653310152695
15,10,0,"CD4-positive, alpha-beta T cell",UGT1A1,0.046401869047131006
15,10,0,"CD4-positive, alpha-beta T cell",UGT1A6,0.02332918806021578
15,10,0,"CD4-positive, alpha-beta T cell",SULT2A1,0.11408575084596677
15,10,0,"CD4-positive, alpha-beta T cell",GSTA1,-0.0002394421421837391
15,10,0,"CD4-positive, alpha-beta T cell",GSTA2,0.02500628354484676
15,10,0,"CD4-positive, alpha-beta T cell",ABCB1,0.01135396618011275
15,10,0,"CD4-positive, alpha-beta T cell",ABCC2,0.16632574919716148
15,10,0,"CD4-positive, alpha-beta T cell",ABCC3,0.16200918719801685
15,10,0,"CD4-positive, alpha-beta T cell",SLCO1B1,0.12757453298714397
15,10,0,"CD4-positive, alpha-beta T cell",G6PC1,0.07518764587053123
15,10,0,"CD4-positive, alpha-beta T cell",PCK1,0.08549983819010477
15,10,0,"CD4-positive, alpha-beta T cell",CPT1A,0.027770909553832625
15,10,0,"CD4-positive, alpha-beta T cell",NFKB1,0.041507020023642954
15,10,0,"CD8-positive, alpha-beta T cell",CYP3A4,0.03630804687628547
15,10,0,"CD8-positive, alpha-beta T cell",CYP3A5,0.0584042817398823
15,10,0,"CD8-positive, alpha-beta T cell",CYP2B6,0.06469168314950775
15,10,0,"CD8-positive, alpha-beta T cell",CYP2C8,0.054328677792212864
15,10,0,"CD8-positive, alpha-beta T cell",CYP2C9,0.04806765805126953
15,10,0,"CD8-positive, alpha-beta T cell",CYP1A2,0.0022294723244675636
15,10,0,"CD8-positive, alpha-beta T cell",CYP7A1,-0.0054011858335670255
15,10,0,"CD8-positive, alpha-beta T cell",UGT1A1,0.041356131694146564
