iteration,cell_type,gene,rho
0,"CD4-positive, alpha-beta T cell",CYP3A4,0.19589650513805043
0,"CD4-positive, alpha-beta T cell",CYP3A5,0.20446855277812037
0,"CD4-positive, alpha-beta T cell",CYP2B6,0.24028144687549863
0,"CD4-positive, alpha-beta T cell",CYP2C8,0.20252604829456006
0,"CD4-positive, alpha-beta T cell",CYP2C9,0.2710052548443113
0,"CD4-positive, alpha-beta T cell",CYP1A2,0.03829916947345068
0,"CD4-positive, alpha-beta T cell",CYP7A1,-0.007457886081619303
0,"CD4-positive, alpha-beta T cell",UGT1A1,0.08943921673059901
0,"CD4-positive, alpha-beta T cell",UGT1A6,0.02721360360067611
0,"CD4-positive, alpha-beta T cell",SULT2A1,0.17207809614764316
0,"CD4-positive, alpha-beta T cell",GSTA1,0.009794547464480621
0,"CD4-positive, alpha-beta T cell",GSTA2,0.06338376127445686
0,"CD4-positive, alpha-beta T cell",ABCB1,0.03031935384399881
0,"CD4-positive, alpha-beta T cell",ABCC2,0.202300523149933
0,"CD4-positive, alpha-beta T cell",ABCC3,0.2098402861892575
0,"CD4-positive, alpha-beta T cell",SLCO1B1,0.1900528439524001
0,"CD4-positive, alpha-beta T cell",G6PC1,0.14343542275257343
0,"CD4-positive, alpha-beta T cell",PCK1,0.13927214273997718
0,"CD4-positive, alpha-beta T cell",CPT1A,0.035502743691343173
0,"CD4-positive, alpha-beta T cell",NFKB1,0.05824000960404567
0,"CD8-positive, alpha-beta T cell",CYP3A4,0.03922579696697351
0,"CD8-positive, alpha-beta T cell",CYP3A5,0.08052792638867808
0,"CD8-positive, alpha-beta T cell",CYP2B6,0.04164074958869894
0,"CD8-positive, alpha-beta T cell",CYP2C8,0.08107172638887701
0,"CD8-positive, alpha-beta T cell",CYP2C9,0.04494263951105467
0,"CD8-positive, alpha-beta T cell",CYP1A2,-0.03290430304098488
0,"CD8-positive, alpha-beta T cell",CYP7A1,-0.010700638435472703
0,"CD8-positive, alpha-beta T cell",UGT1A1,0.014748679827484755
0,"CD8-positive, alpha-beta T cell",UGT1A6,0.10194419224997865
0,"CD8-positive, alpha-beta T cell",SULT2A1,0.053657009950128357
0,"CD8-positive, alpha-beta T cell",GSTA1,0.04149336642499594
0,"CD8-positive, alpha-beta T cell",GSTA2,0.0047476682230406025
0,"CD8-positive, alpha-beta T cell",ABCB1,-0.039203982071631845
0,"CD8-positive, alpha-beta T cell",ABCC2,-0.01500931975190359
0,"CD8-positive, alpha-beta T cell",ABCC3,0.046847987814733816
0,"CD8-positive, alpha-beta T cell",SLCO1B1,0.09419115486309412
0,"CD8-positive, alpha-beta T cell",G6PC1,0.003594444398128018
0,"CD8-positive, alpha-beta T cell",PCK1,0.006018341870241467
0,"CD8-positive, alpha-beta T cell",CPT1A,-0.015553156260667965
0,"CD8-positive, alpha-beta T cell",NFKB1,-0.008500140264617845
0,enterocyte of epithelium of large intestine,CYP3A4,0.22195676470097553
0,enterocyte of epithelium of large intestine,CYP3A5,0.19259204590574025
0,enterocyte of epithelium of large intestine,CYP2B6,0.30776222059049535
0,enterocyte of epithelium of large intestine,CYP2C8,0.2299514436790301
0,enterocyte of epithelium of large intestine,CYP2C9,0.1944293564694012
0,enterocyte of epithelium of large intestine,CYP1A2,0.11179066788495379
0,enterocyte of epithelium of large intestine,CYP7A1,-0.18737659915266427
0,enterocyte of epithelium of large intestine,UGT1A1,0.17291446318170808
0,enterocyte of epithelium of large intestine,UGT1A6,-0.014131254598942936
0,enterocyte of epithelium of large intestine,SULT2A1,0.1294349555298467
0,enterocyte of epithelium of large intestine,GSTA1,0.1154115430696292
0,enterocyte of epithelium of large intestine,GSTA2,0.11824309219189266
0,enterocyte of epithelium of large intestine,ABCB1,0.4324550897000555
0,enterocyte of epithelium of large intestine,ABCC2,0.009498291683751221
0,enterocyte of epithelium of large intestine,ABCC3,0.09835493565256184
0,enterocyte of epithelium of large intestine,SLCO1B1,-0.13921906963749964
0,enterocyte of epithelium of large intestine,G6PC1,-0.105835596126344
0,enterocyte of epithelium of large intestine,PCK1,0.030960062983955292
0,enterocyte of epithelium of large intestine,CPT1A,0.22459768718457448
0,enterocyte of epithelium of large intestine,NFKB1,0.28660292048293085
0,enterocyte of epithelium of small intestine,CYP3A4,0.5706081259364623
0,enterocyte of epithelium of small intestine,CYP3A5,0.7267154636520924
0,enterocyte of epithelium of small intestine,CYP2B6,0.455589868490405
0,enterocyte of epithelium of small intestine,CYP2C8,0.09906406919694205
0,enterocyte of epithelium of small intestine,CYP2C9,0.5513543290474571
0,enterocyte of epithelium of small intestine,CYP1A2,
0,enterocyte of epithelium of small intestine,CYP7A1,0.021360959753249188
0,enterocyte of epithelium of small intestine,UGT1A1,0.4900386427661452
0,enterocyte of epithelium of small intestine,UGT1A6,-0.07704121506389934
0,enterocyte of epithelium of small intestine,SULT2A1,0.38654890922809343
0,enterocyte of epithelium of small intestine,GSTA1,0.19000345759502074
0,enterocyte of epithelium of small intestine,GSTA2,0.09442079722420628
0,enterocyte of epithelium of small intestine,ABCB1,0.6547272311834836
0,enterocyte of epithelium of small intestine,ABCC2,0.7007596462925266
0,enterocyte of epithelium of small intestine,ABCC3,0.3037406454614127
0,enterocyte of epithelium of small intestine,SLCO1B1,
0,enterocyte of epithelium of small intestine,G6PC1,0.4987031810525351
0,enterocyte of epithelium of small intestine,PCK1,0.30563939076585994
0,enterocyte of epithelium of small intestine,CPT1A,0.48542244153694275
0,enterocyte of epithelium of small intestine,NFKB1,0.20030475319442778
0,extravillous trophoblast,CYP3A4,-0.010356753519141913
0,extravillous trophoblast,CYP3A5,-0.006606020366452764
0,extravillous trophoblast,CYP2B6,
0,extravillous trophoblast,CYP2C8,-0.010356753519141913
0,extravillous trophoblast,CYP2C9,-0.018013531580860075
0,extravillous trophoblast,CYP1A2,
0,extravillous trophoblast,CYP7A1,-0.020843824939053946
0,extravillous trophoblast,UGT1A1,
0,extravillous trophoblast,UGT1A6,
0,extravillous trophoblast,SULT2A1,-0.05803944170681552
0,extravillous trophoblast,GSTA1,0.12492101033129747
0,extravillous trophoblast,GSTA2,-0.03829642618321725
0,extravillous trophoblast,ABCB1,0.038411596803611996
0,extravillous trophoblast,ABCC2,-0.027273881559117526
0,extravillous trophoblast,ABCC3,0.058577657334608194
0,extravillous trophoblast,SLCO1B1,-0.010356753519141913
0,extravillous trophoblast,G6PC1,-0.018013531580860075
0,extravillous trophoblast,PCK1,-0.018013531580860075
0,extravillous trophoblast,CPT1A,0.02789833314227988
0,extravillous trophoblast,NFKB1,0.16408010621342423
0,hepatocyte,CYP3A4,0.7624571958067038
0,hepatocyte,CYP3A5,0.8631104155385446
0,hepatocyte,CYP2B6,0.7671796445131063
0,hepatocyte,CYP2C8,0.8079418360029733
0,hepatocyte,CYP2C9,0.8989975658627499
0,hepatocyte,CYP1A2,0.6514514755190306
0,hepatocyte,CYP7A1,0.5673989590223737
0,hepatocyte,UGT1A1,0.12648662263610727
0,hepatocyte,UGT1A6,0.12293713468233601
0,hepatocyte,SULT2A1,0.7071113575489356
0,hepatocyte,GSTA1,0.005499699794526793
0,hepatocyte,GSTA2,0.10561177299168895
0,hepatocyte,ABCB1,0.6714801564207594
0,hepatocyte,ABCC2,0.8579191745137615
0,hepatocyte,ABCC3,0.7673369209962092
0,hepatocyte,SLCO1B1,0.8436533975919367
0,hepatocyte,G6PC1,0.7669149398358004
0,hepatocyte,PCK1,0.682580678525602
0,hepatocyte,CPT1A,0.7810046903109822
0,hepatocyte,NFKB1,0.676224930828723
0,intestinal crypt stem cell,CYP3A4,0.4112075224198314
0,intestinal crypt stem cell,CYP3A5,0.6377919599244917
0,intestinal crypt stem cell,CYP2B6,0.4235148461504501
0,intestinal crypt stem cell,CYP2C8,0.09904646395248157
0,intestinal crypt stem cell,CYP2C9,0.29656894640350373
0,intestinal crypt stem cell,CYP1A2,
0,intestinal crypt stem cell,CYP7A1,
0,intestinal crypt stem cell,UGT1A1,0.059788947432853325
0,intestinal crypt stem cell,UGT1A6,0.18323595831209089
0,intestinal crypt stem cell,SULT2A1,0.19919806195296946
0,intestinal crypt stem cell,GSTA1,0.42850971680350597
0,intestinal crypt stem cell,GSTA2,0.3358572766434314
0,intestinal crypt stem cell,ABCB1,0.5108704135801909
0,intestinal crypt stem cell,ABCC2,0.07539231845135395
0,intestinal crypt stem cell,ABCC3,0.49111182028987976
0,intestinal crypt stem cell,SLCO1B1,
0,intestinal crypt stem cell,G6PC1,-0.018729128326741642
0,intestinal crypt stem cell,PCK1,0.4957241011300117
0,intestinal crypt stem cell,CPT1A,0.49995202523346594
0,intestinal crypt stem cell,NFKB1,0.5357615227150923
0,macrophage,CYP3A4,0.19967532974152477
0,macrophage,CYP3A5,0.11479621819545723
0,macrophage,CYP2B6,0.12389761000044769
0,macrophage,CYP2C8,0.13043991695203286
0,macrophage,CYP2C9,0.12852152945171438
0,macrophage,CYP1A2,0.12030719269961455
0,macrophage,CYP7A1,-0.014960214527038966
0,macrophage,UGT1A1,0.1935793318537513
0,macrophage,UGT1A6,0.06554981232412137
0,macrophage,SULT2A1,0.08097648036808014
0,macrophage,GSTA1,-0.0028877465614196504
0,macrophage,GSTA2,0.011870123188290711
0,macrophage,ABCB1,0.04294723092084246
0,macrophage,ABCC2,0.13912669324074148
0,macrophage,ABCC3,-0.008397488459814433
0,macrophage,SLCO1B1,0.10920109744725948
0,macrophage,G6PC1,0.1374493586547424
0,macrophage,PCK1,0.14643578932363582
0,macrophage,CPT1A,-0.05371768798392759
0,macrophage,NFKB1,-0.059135378714501495
0,monocyte,CYP3A4,0.21905468973601766
0,monocyte,CYP3A5,0.16382654818740824
0,monocyte,CYP2B6,0.211873656261346
0,monocyte,CYP2C8,0.1918091044406839
0,monocyte,CYP2C9,0.20476467287238562
0,monocyte,CYP1A2,0.15197590904420533
0,monocyte,CYP7A1,-0.01788273126360964
0,monocyte,UGT1A1,0.22532097989411135
0,monocyte,UGT1A6,0.07278073953885793
0,monocyte,SULT2A1,0.1907765931581798
0,monocyte,GSTA1,0.048776574302691715
0,monocyte,GSTA2,-0.037017134278240126
0,monocyte,ABCB1,0.03275404988918176
0,monocyte,ABCC2,0.2200023307051086
0,monocyte,ABCC3,0.002303882851024483
0,monocyte,SLCO1B1,0.15920940804934952
0,monocyte,G6PC1,0.1670761370915176
0,monocyte,PCK1,0.17295705894214844
0,monocyte,CPT1A,-0.049025827392570394
0,monocyte,NFKB1,-0.0759766064254057
0,natural killer cell,CYP3A4,0.12410932560269428
0,natural killer cell,CYP3A5,0.13059841643158535
0,natural killer cell,CYP2B6,0.13900773688547108
0,natural killer cell,CYP2C8,0.12015973129377175
0,natural killer cell,CYP2C9,0.12345434163037097
0,natural killer cell,CYP1A2,0.1680845069382838
0,natural killer cell,CYP7A1,0.026664429520181006
0,natural killer cell,UGT1A1,0.08695431556672158
0,natural killer cell,UGT1A6,0.07048348367570954
0,natural killer cell,SULT2A1,0.11277570996949823
0,natural killer cell,GSTA1,0.00612642726837363
0,natural killer cell,GSTA2,0.039904541707819
0,natural killer cell,ABCB1,-0.020286062302175653
0,natural killer cell,ABCC2,0.14771995668282906
0,natural killer cell,ABCC3,0.10621160868697696
0,natural killer cell,SLCO1B1,0.1987764318990112
0,natural killer cell,G6PC1,0.1243561529612419
0,natural killer cell,PCK1,0.08636619262402272
0,natural killer cell,CPT1A,-0.037468167342752594
0,natural killer cell,NFKB1,-0.014181575207782028
1,"CD4-positive, alpha-beta T cell",CYP3A4,0.15421085212658375
1,"CD4-positive, alpha-beta T cell",CYP3A5,0.1932780113920036
1,"CD4-positive, alpha-beta T cell",CYP2B6,0.22312745906610396
1,"CD4-positive, alpha-beta T cell",CYP2C8,0.16599849545077686
1,"CD4-positive, alpha-beta T cell",CYP2C9,0.22445416913640862
1,"CD4-positive, alpha-beta T cell",CYP1A2,0.035375132042540544
1,"CD4-positive, alpha-beta T cell",CYP7A1,-0.007695003341531778
1,"CD4-positive, alpha-beta T cell",UGT1A1,0.026626000183603796
1,"CD4-positive, alpha-beta T cell",UGT1A6,0.02212594638584716
1,"CD4-positive, alpha-beta T cell",SULT2A1,0.14175639812165755
1,"CD4-positive, alpha-beta T cell",GSTA1,-0.002115427925074335
1,"CD4-positive, alpha-beta T cell",GSTA2,-0.004066247997662799
1,"CD4-positive, alpha-beta T cell",ABCB1,0.01632402229499651
1,"CD4-positive, alpha-beta T cell",ABCC2,0.16619271211623585
1,"CD4-positive, alpha-beta T cell",ABCC3,0.21114090749597478
1,"CD4-positive, alpha-beta T cell",SLCO1B1,0.1533928694184314
1,"CD4-positive, alpha-beta T cell",G6PC1,0.13674646600117107
1,"CD4-positive, alpha-beta T cell",PCK1,0.14920628773405314
