cell_type,gene,mean,std,ci_low,ci_high,n_iter
"CD4-positive, alpha-beta T cell",ABCB1,0.019368319727565288,0.01708836194402194,-0.007545801284902341,0.042941018441527035,20
"CD4-positive, alpha-beta T cell",ABCC2,0.19691397502096328,0.020368655389071795,0.16067626586647904,0.2268854162865787,20
"CD4-positive, alpha-beta T cell",ABCC3,0.1978538344478328,0.0176277327789592,0.17105846435607833,0.22885661903199395,20
"CD4-positive, alpha-beta T cell",CPT1A,0.02661084373043151,0.016158543612070614,0.008416344802843619,0.06666443943114783,20
"CD4-positive, alpha-beta T cell",CYP1A2,0.04387396176249517,0.02419493755822266,0.013039966678006203,0.09155342413342091,20
"CD4-positive, alpha-beta T cell",CYP2B6,0.22848203015712804,0.014100525004968884,0.20379420740567186,0.25347036620104607,20
"CD4-positive, alpha-beta T cell",CYP2C8,0.19406527173046867,0.017534408763186748,0.168741574291893,0.2250803486526208,20
"CD4-positive, alpha-beta T cell",CYP2C9,0.2462126737065661,0.016538668015845213,0.21956326475572024,0.2707801377606157,20
"CD4-positive, alpha-beta T cell",CYP3A4,0.18135205513251176,0.018416454395353853,0.15277933222751922,0.20985439335151562,20
"CD4-positive, alpha-beta T cell",CYP3A5,0.20779976899547864,0.016736568866814662,0.1837591955950209,0.24038047473635935,20
"CD4-positive, alpha-beta T cell",CYP7A1,-0.00952260113169438,0.001236997311850081,-0.01118986090692894,-0.007394426772427781,20
"CD4-positive, alpha-beta T cell",G6PC1,0.12805656687122344,0.013035120982238458,0.10848233414130258,0.14777118100958678,20
"CD4-positive, alpha-beta T cell",GSTA1,0.0009712045967070485,0.013926756953102696,-0.025666960758341757,0.02321404589445116,20
"CD4-positive, alpha-beta T cell",GSTA2,0.026886987520531192,0.020354564305955825,-0.0015892086228326318,0.06555196103250309,20
"CD4-positive, alpha-beta T cell",NFKB1,0.04272250429431783,0.012782502273155508,0.01769453218727976,0.05879921315841576,20
"CD4-positive, alpha-beta T cell",PCK1,0.1457029668110033,0.019553201617027883,0.10935935733448551,0.1860621748185419,20
"CD4-positive, alpha-beta T cell",SLCO1B1,0.1738551008994774,0.024035101065569196,0.1252339326453331,0.20634161628569617,20
"CD4-positive, alpha-beta T cell",SULT2A1,0.16192546159465848,0.017988532504947637,0.12760675297515497,0.1867478827547201,20
"CD4-positive, alpha-beta T cell",UGT1A1,0.0801241980502784,0.024162473022876718,0.03894911261210074,0.12080264447625977,20
"CD4-positive, alpha-beta T cell",UGT1A6,0.027063806106972815,0.018648752768878344,-0.014828472306989712,0.056767935204500485,20
"CD8-positive, alpha-beta T cell",ABCB1,-0.033614112885469456,0.019590291492703537,-0.05964527272279423,0.005645484114718031,20
"CD8-positive, alpha-beta T cell",ABCC2,0.03370913068244101,0.021064451060268,-0.005611840043186158,0.07212908060775036,20
"CD8-positive, alpha-beta T cell",ABCC3,0.055063441461031946,0.023971266036313447,0.019574389279028406,0.10282421206459944,20
"CD8-positive, alpha-beta T cell",CPT1A,-0.011351622095523279,0.01791205059762231,-0.04329133880538104,0.018208358201498794,20
"CD8-positive, alpha-beta T cell",CYP1A2,0.0020697282340516204,0.0220970151859303,-0.03138523290095553,0.046302942569952245,20
"CD8-positive, alpha-beta T cell",CYP2B6,0.07256556842109331,0.03230823090117137,0.03329252918592107,0.1278832569902675,20
"CD8-positive, alpha-beta T cell",CYP2C8,0.08011471393672362,0.022165395748940157,0.04644748024799576,0.12314661778628919,20
"CD8-positive, alpha-beta T cell",CYP2C9,0.06907805501905659,0.02628528876947261,0.022461616699027766,0.10871580547719643,20
"CD8-positive, alpha-beta T cell",CYP3A4,0.05968464942992915,0.0252773458369671,0.01896108398643788,0.10208545546998819,20
"CD8-positive, alpha-beta T cell",CYP3A5,0.07044570702283474,0.020784901698696897,0.03776504234476615,0.1011850055887615,20
"CD8-positive, alpha-beta T cell",CYP7A1,0.006116349768247661,0.03592839907646135,-0.011587051670892584,0.09167654183667115,20
"CD8-positive, alpha-beta T cell",G6PC1,0.04061480316184887,0.03213233542775507,-0.0046310109238675064,0.09598239807488279,20
"CD8-positive, alpha-beta T cell",GSTA1,0.03188110295507912,0.019077848668953176,-0.007966732031135529,0.055449001056674656,20
"CD8-positive, alpha-beta T cell",GSTA2,0.025600171392158623,0.016271047843918533,-0.0053988562675408806,0.05113858325904482,20
"CD8-positive, alpha-beta T cell",NFKB1,-0.0052623838850602974,0.012108330297839975,-0.028215834948418988,0.014619417430226793,20
"CD8-positive, alpha-beta T cell",PCK1,0.015096262125643583,0.021689616104555755,-0.019144700477547835,0.06011738999906568,20
"CD8-positive, alpha-beta T cell",SLCO1B1,0.0976837525030887,0.028024812257698394,0.06143733755408743,0.15691234411540209,20
"CD8-positive, alpha-beta T cell",SULT2A1,0.056934594978211,0.027623465906192454,-0.0031935840797740808,0.09980670634534848,20
"CD8-positive, alpha-beta T cell",UGT1A1,0.054594456828413476,0.027555095622571538,0.009301825927749363,0.10136586235574922,20
"CD8-positive, alpha-beta T cell",UGT1A6,0.06819130586016202,0.03326321754983538,0.013044104529343023,0.10418257486996926,20
enterocyte of epithelium of large intestine,ABCB1,0.3886191442322954,0.07849921767464453,0.25124174862148063,0.5115141585651392,20
enterocyte of epithelium of large intestine,ABCC2,0.11460282903927572,0.06794671694166499,0.023498372535188033,0.26913633175429247,20
enterocyte of epithelium of large intestine,ABCC3,0.07564036339707488,0.08703195427997142,-0.08846976325307798,0.21818167532783062,20
enterocyte of epithelium of large intestine,CPT1A,0.21388664090101378,0.07205508455211986,0.0689745766164784,0.31793240917100546,20
enterocyte of epithelium of large intestine,CYP1A2,0.06085923689627949,0.10879527015502828,-0.12423277102598991,0.1559444970642586,20
enterocyte of epithelium of large intestine,CYP2B6,0.35197719249903126,0.08119141545912398,0.23933711869666982,0.488376894285931,20
enterocyte of epithelium of large intestine,CYP2C8,0.15761111150391097,0.06916458940364045,0.05343809597073513,0.26079798656764225,20
enterocyte of epithelium of large intestine,CYP2C9,0.22988485250665147,0.07890954929107101,0.0993169312994362,0.3735144471731919,20
enterocyte of epithelium of large intestine,CYP3A4,0.27463256094523125,0.09037558102256342,0.13661546579564143,0.45570145737051265,20
enterocyte of epithelium of large intestine,CYP3A5,0.18579924125480246,0.08181077985941235,0.05250554324491732,0.28132576410399746,20
enterocyte of epithelium of large intestine,CYP7A1,-0.045973210469858326,0.10647950954604049,-0.18901897455115968,0.13830824954082546,20
enterocyte of epithelium of large intestine,G6PC1,0.07710842218809355,0.0985994108603926,-0.07784490495818888,0.24762013362448643,20
enterocyte of epithelium of large intestine,GSTA1,0.13349362635943934,0.06323789739303855,0.007669858736339696,0.24295663628326533,20
enterocyte of epithelium of large intestine,GSTA2,0.10474290415020666,0.04420526768767289,0.020968484903272546,0.17586948679946288,20
enterocyte of epithelium of large intestine,NFKB1,0.2502772939289937,0.09037409902889403,0.12683545413657296,0.41251520759769045,20
enterocyte of epithelium of large intestine,PCK1,-0.006413805789478574,0.06970881566859685,-0.16117194762886344,0.08100419655738464,20
enterocyte of epithelium of large intestine,SLCO1B1,-0.0016182755975251658,0.07486602042282374,-0.12331737202799004,0.1139101058070351,20
enterocyte of epithelium of large intestine,SULT2A1,0.13184198913474268,0.06300048560962565,0.021195820162283857,0.24493441157604012,20
enterocyte of epithelium of large intestine,UGT1A1,0.2685128587165444,0.06968754203007708,0.14213828425909653,0.3771039311571037,20
enterocyte of epithelium of large intestine,UGT1A6,0.12435857002123289,0.07374390835380513,-0.0054482533907737295,0.2200195106752734,20
enterocyte of epithelium of small intestine,ABCB1,0.6066987958395,0.050113646396848475,0.5199426876401946,0.6933913502109704,20
enterocyte of epithelium of small intestine,ABCC2,0.668900436842813,0.034524678822693645,0.6047929236952375,0.7247153473282273,20
enterocyte of epithelium of small intestine,ABCC3,0.4008031225417684,0.060527574445949174,0.26120191207940313,0.4732395581631589,20
enterocyte of epithelium of small intestine,CPT1A,0.3430134900028991,0.06391778305631106,0.265533286451008,0.47044511748434453,20
enterocyte of epithelium of small intestine,CYP1A2,,,,,20
enterocyte of epithelium of small intestine,CYP2B6,0.4311272070694708,0.06604566989301988,0.33865557590686596,0.5454629817491786,20
enterocyte of epithelium of small intestine,CYP2C8,0.11875900912523554,0.06506696303840595,0.001267809417917768,0.24143354741312403,20
enterocyte of epithelium of small intestine,CYP2C9,0.5276742916313106,0.04306959199797944,0.4554530004688233,0.5884873915208385,20
enterocyte of epithelium of small intestine,CYP3A4,0.5454954131160641,0.032003856002921105,0.49313672774477413,0.5932339221256535,20
enterocyte of epithelium of small intestine,CYP3A5,0.689791566137231,0.04196847128693409,0.6098078496157645,0.7426294418928996,20
enterocyte of epithelium of small intestine,CYP7A1,-0.03486637071657494,0.07418764009944889,-0.14195066456328712,0.09681637203973961,20
enterocyte of epithelium of small intestine,G6PC1,0.516548267499772,0.03066082912732066,0.46306295687484844,0.5610245812870742,20
enterocyte of epithelium of small intestine,GSTA1,0.12395735050682714,0.04527146672869497,0.04535553395522428,0.19933743701304973,20
enterocyte of epithelium of small intestine,GSTA2,0.02234335590765247,0.047569828212376514,-0.05278974793032113,0.10963917431694917,20
enterocyte of epithelium of small intestine,NFKB1,0.17452630150521783,0.0519055492735495,0.07885163025053801,0.25574450701453255,20
enterocyte of epithelium of small intestine,PCK1,0.32473659083797235,0.04118469705192057,0.23676258901045502,0.3800662212845758,20
enterocyte of epithelium of small intestine,SLCO1B1,,,,,20
enterocyte of epithelium of small intestine,SULT2A1,0.4224192279147248,0.04007836382988568,0.3731412503617999,0.4993736027278871,20
enterocyte of epithelium of small intestine,UGT1A1,0.49798266189985607,0.06895142413597956,0.36704134127293747,0.6225503672413429,20
enterocyte of epithelium of small intestine,UGT1A6,0.053173412973576015,0.06105607587106375,-0.05414121767677637,0.17702422813119054,20
extravillous trophoblast,ABCB1,0.051871424076258485,0.056776214700994934,-0.027752786967079446,0.16526676394989875,20
